kasuZbkia,gaixotasunak,gaixotasunUMLS,sintomak,sintomenUMLS,gaixSin,gaixSinUMLS
12,hipertensión arterial esencial,C0085580 C0085580 C0085580,mujer,C0043210#C0015780#C0086418,hipertensión,C0085580_1
13,,,conducta,C0004927,pérdida,-
15,"hipertensión arterial tabaquismo,derivaciones","C0020538 C0020538 C0040332#C0040336#C1306274#C0425291,C1442858#C0542331","dolor,palidez,sudoración profusa soplo diastólico taquicardia sinusal","C0030193,C0030232#C1275397,C0700590#C0020458 C0700590#C0020458 C0232262 C0232262 C0039239 C0039239","hipertensión,tabaquismo,dolor,palidez,sudoración,soplo,taquicardia","C0020538_1,C0040332#C0040336#C1306274#C0425291_1,C0030193,C0030232#C1275397,C0700590#C0020458_1,C0232262_1,C0039239_1"
16,"Hepatitis aguda Hepatitis aguda,traumatismos","C0267797 C0267797 C0267797 C0267797,C3263723",disnea,C0013404#C0553668,"Hepatitis,Sobreinfección,virus,D,Hepatitis,disnea,traumatismos","C0267797_1,-,C0042776,-,C0267797_1,C0013404#C0553668,C3263723"
17,,,"disnea,tos","C0013404#C0553668,C0010200_1","EPOC,disnea,tos,expectoración,somnolencia","-,C0013404#C0553668,C0010200_1,C0232515#C0038056,C2830004"
18,,,,,adenopatías,-
19,síncope,C0039070#C0332521_1,"mujer,síncope,mareo,disnea,taquicardia,galope","C0043210#C0015780#C0086418,C0039070#C0332521_1,C0012833#C0220870,C0013404#C0553668,C0039231_1,C0232200","síncope,mareo,disnea,sudorosa,taquicardia,soplos,galope","C0039070#C0332521_1,C0012833#C0220870,C0013404#C0553668,-,C0039231_1,C0006318#C0018808,C0232200"
20,"masa,lesión,metástasis,lesión,carcinoma","C1306372#C0577559,C0332447#C1313971#C0221198,C2939419#C0013930,C0332447#C1313971#C0221198,C0007097","fumador,tos,hallazgo","C0337664,C0010200_1,C0243095","fumador,tos,expectoración,masa,lesión,adenopatías,metástasis,lesión,carcinoma","C0337664,C0010200_1,C0232515#C0038056,C1306372#C0577559,C0332447#C1313971#C0221198,-,C2939419#C0013930,C0332447#C1313971#C0221198,C0007097"
21,,,"síntomas,debilidad","C1457887,C0424594#C0004093#C3714552","dificultad,debilidad","C1299586#C0332218,C0424594#C0004093#C3714552"
22,epilepsia,C0014544,llanto,C0010399,"epilepsia,llanto","C0014544,C0010399"
23,"miastenia gravis,dificultad,para,tragar crisis miasténica","C0026896 C0026896,C0011168_1,C0011168_2,C0011168 C0270942 C0270942","dificultad,para,tragar,ruido,ronquido","C0011168_1,C0011168_2,C0011168_3,C0006318,C0037384_1","miastenia,gravis,dificultad,diplopia,crisis,miasténica,ronquido,sudoroso,fatigado","C0026896_1,C0026896_2,C0011168_1,-,C0270942_1,C0270942_2,C0037384_1,-,-"
24,"tumor,disminución,náuseas y vómitos,masa,erosión","C0027651,C0333668#C0547047,C0027498 C0027498 C0027498,C1306372#C0577559,C0333307","Mujer,cefalea,masa","C0043210#C0015780#C0086418,C0018681,C1306372#C0577559","tumor,disminución,cefalea,náuseas,vómitos,Hipotensa,oftalmoparesia,afectación,masa,erosión","C0027651,C0333668#C0547047,C0018681,C0027498_1,C0027498_3,-,-,-,C1306372#C0577559,C0333307"
25,"shock,le","C0036974,C1292157#C0409974","mujer,obesa,le","C0043210#C0015780#C0086418,C0028754,C1292157#C0409974","shock,obesa","C0036974,C0028754"
26,poliuria,C0032617,"polidipsia,poliuria,tos,respiración profunda,cetonuria","C1994994#C0085602,C0032617,C0010200_1,C1328799#C0220854 C1328799#C0220854,C0162275","deterioro,polidipsia,poliuria,náuseas,tos,sensación,febril,sequedad,fiebre,cetonuria","C1279889_1,C1994994#C0085602,C0032617,-,C0010200_1,C0036658#C1455667,C0015967,-,C0015967,C0162275"
27,"disminución,poliuria,desviaciones","C0333668#C0547047,C0032617,C0185033#C0333051","cefaleas,problemas,polidipsia,poliuria,hemianopsia","C0018681,C0033213,C1994994#C0085602,C0032617,C0018979","disminución,cefaleas,problemas,menarquia,polidipsia,poliuria,hemianopsia","C0333668#C0547047,C0018681,C0033213,-,C1994994#C0085602,C0032617,C0018979"
28,"fractura,fracturas,traumatismo","C0016658,C0016658,C3263723",dolor intenso,C0458256 C0458256,"dolor,fractura,fracturas,traumatismo","C0458256_1,C0016658,C0016658,C3263723"
29,,,,,,
30,"hipertensión arterial,les","C0020538 C0020538,C1292157#C0409974",les,C1292157#C0409974,hipertensión,C0020538_1
31,leucemia,C0023418,"astenia,palidez","C0004093#C3714552,C0030232#C1275397","leucemia,astenia,palidez","C0023418,C0004093#C3714552,C0030232#C1275397"
32,esplenomegalia,C0038002,Morfología,C0700329#C0332437,"aniso-poiquilocitosis,dacriocitos,esplenomegalia","-,-,C0038002"
33,"epistaxis,anemia,leucopenia,trombopenia","C0014591,C0002871#C0221395#C1510654,C0023530#C0750394,C0040034_1","debilidad,fatiga,leucopenia","C0424594#C0004093#C3714552,C0015672,C0023530#C0750394","debilidad,fatiga,epistaxis,anemia,leucopenia,trombopenia","C0424594#C0004093#C3714552,C0015672,C0014591,C0002871#C0221395#C1510654,C0023530#C0750394,C0040034_1"
34,tumefacción,C0038999,"Mujer,tumefacción","C0043210#C0015780#C0086418,C0038999","tumefacción,ocupación","C0038999,C0028811"
35,"sangrado,hemorragia","C0019080,C0019080","Mujer,sangrado,hemorragia","C0043210#C0015780#C0086418,C0019080,C0019080","sangrado,hemorragia","C0019080,C0019080"
36,"le,artritis reumatoide","C1292157#C0409974,C0003873 C0003873","mujer,le","C0043210#C0015780#C0086418,C1292157#C0409974","poliartritis,artritis","C0162323,C0003873_1"
37,disminución,C0333668#C0547047,"varón,rigidez,dolor","C0086582,C0427008#C0026837,C0030193","rigidez,dolor,calcificaciones","C0427008#C0026837,C0030193,C1533591"
38,"artritis simétrica,hipertensión arterial","C0427306 C0427306,C0020538 C0020538",Mujer,C0043210#C0015780#C0086418,"artritis,erupción,hipertensión,febrícula,hipocomplementemia","C0427306_1,C0015230#C0302295,C0020538_1,-,-"
39,"demencia,fractura cerrada del radio,yeso,osteoporosis,reducción","C0497327,C0272622 C0272622 C0272622 C0272622,C0179686#C0460977#C0302143,C0029456,C0333668","Mujer,fumadora","C0043210#C0015780#C0086418,C0337664","delirium,demencia,fractura,fumadora,osteoporosis","-,C0497327,C0272622_1,C0337664,C0029456"
40,Lupus Eritematoso Sistémico,C0024141 C0024141 C0024141,mujer,C0043210#C0015780#C0086418,"Lupus,actividad,inflamatoria,dolor","C0024141_1,C0441655,C0333348,C1719974_3"
41,"tumefacción,compresión","C0038999,C0332459#C1285497","caída,tumefacción,hormigueos,disestesias","C0085639,C0038999,C0016579,C0392699","caída,tumefacción,hormigueos,disestesias","C0085639,C0038999,C0016579,C0392699"
42,"epilepsia,adicción a drogas,compresión,edematosa,sedimento","C0014544,C1510472 C1510472 C1510472,C0332459#C1285497,C0013604,C0333562","Dolor difuso,orina oscura proteinuria","C0520963 C0520963,C0426396 C0426396 C0033687","epilepsia,adicción,comatoso,Dolor,edematosa,proteinuria","C0014544,C1510472_1,-,C0520963_1,C0013604,C0033687_1"
43,hematuria macroscópica,C0473237 C0473237,"artralgia,dolor abdominal","C0003862,C0000737 C0000737","artralgia,dolor,hematuria,amigdalitis","C0003862,C0000737_1,C0473237_1,C0040425"
44,hipertensión arterial infarto de miocardio,C0020538 C0020538 C0027051 C0027051 C0027051,dificultad para caminar malestar general,C0311394 C0311394 C0311394 C0234215#C0231218 C0234215#C0231218,"hipertensión,infarto,ictus,dificultad,malestar","C0020538_1,C0027051_1,-,C0311394_1,C0234215#C0231218_1"
46,,,"cantidades,posición corporal,disuria","C1265611#C0237753,C1262869 C1262869,C0013428","fiebre,disuria","C0015967,C0013428"
47,neumonía adquirida en la comunidad,C0694549 C0694549 C0694549 C0694549 C0694549,"fumador,escalofríos,fiebre,tos","C0337664,C0234192#C0085593#C0424790,C0015967,C0010200_1","fumador,escalofríos,fiebre,tos,expectoración,neumonía","C0337664,C0234192#C0085593#C0424790,C0015967,C0010200_1,C0232515#C0038056,C0694549_1"
48,artritis reumatoide herpes zoster,C0003873 C0003873 C0019360 C0019360,Mujer,C0043210#C0015780#C0086418,"artritis,herpes,quemosis","C0003873_1,C0019360_1,C0271298"
49,vegetación,C1285498,"fiebre,pérdida de peso disnea de esfuerzo soplo diastólico","C0015967,C0043096#C1285591 C0043096#C1285591 C0043096#C1285591 C0231807 C0231807 C0231807 C0232262 C0232262","fiebre,pérdida,disnea,soplo,embolismos,Streptococcus,bovis","C0015967,C0043096#C1285591_1,C0231807_1,C0232262_1,-,-,-"
50,"hipotensión,enfermedad de Hodgkin","C0020649,C0019829 C0019829 C0019829",fiebre,C0015967,"fiebre,hipotensión,enfermedad,de,Hodgkin","C0015967,C0020649,C0019829_1,C0019829_2,C0019829_3"
51,"desviación,litiasis","C0185033#C0333051,C0023869","mujer,fiebre,dolor","C0043210#C0015780#C0086418,C0015967,C0030193","fiebre,dolor","C0015967,C0030193"
52,induración,C0332534,adicto,C0700285,VIH,C0458074#C0019682_1
53,"le,le,exantema,petequias","C1292157#C0409974,C1292157#C0409974,C0015230,C0031256","mujer,fiebre,cefalea,le,le","C0043210#C0015780#C0086418,C0015967,C0018681,C1292157#C0409974,C1292157#C0409974","fiebre,artroniialgias,cefalea,exantema,petequias","C0015967,-,C0018681,C0015230,C0031256"
54,"síndrome,lesión,hepatomegalia,masa,lesiones","C0012634#C0039082,C0332447#C1313971#C0221198,C0019209,C1306372#C0577559,C0332447#C1313971#C0221198","dolor,masa","C0030193,C1306372#C0577559","síndrome,constitucional,dolor,lesión,hepatomegalia,lesión,masa,lesiones","C0012634#C0039082,-,C0030193,C0332447#C1313971#C0221198,C0019209,C0221204_1,C1306372#C0577559,C0332447#C1313971#C0221198"
55,"metástasis,carcinoma","C2939419#C0013930,C0007097",,,"metástasis,carcinoma","C2939419#C0013930,C0007097"
56,"demencia,neumonía aspirativa úlcera por presión","C0497327,C0032290#C1761609 C0032290#C1761609 C0011127 C0011127 C0011127","No se comunica,mujer","C0566002 C0566002 C0566002,C0043210#C0015780#C0086418","demencia,neumonía,úlcera","C0497327,C0032290#C1761609_1,C0011127_1"
57,"hematomas,fractura de cadera hipertensión arterial,demencia,fractura","C0018944,C0435805#C0019557#C0015806 C0435805#C0019557#C0015806 C0435805#C0019557#C0015806 C0020538 C0020538,C0497327,C0016658","mujer,presión venosa yugular normal ritmo sinusal","C0043210#C0015780#C0086418,C0520859 C0520859 C0520859 C0520859 C0232201 C0232201","hematomas,fractura,hipertensión,hiperlipemia,demencia,fractura,alteraciones","C0018944,C0435805#C0019557#C0015806_1,C0020538_1,C0020473,C0497327,C0016658,-"
58,"hipertensión arterial,artrosis","C0020538 C0020538,C0029408","mujer,cansancio,debilidad,síntomas,mareo,incontinencia urinaria,temblor","C0043210#C0015780#C0086418,C0015672#C0475255,C0424594#C0004093#C3714552,C1457887,C0012833#C0220870,C0042024#C0312413 C0042024#C0312413,C0040822#C1527384_1","cansancio,debilidad,mareo,hipertensión,incontinencia,artrosis,temblor","C0015672#C0475255,C0424594#C0004093#C3714552,C0012833#C0220870,C0020538_1,C0042024#C0312413_1,C0029408,C0040822#C1527384_1"
59,le,C1292157#C0409974,"le,insuficiencia,pérdida de peso,mialgias","C1292157#C0409974,C0231179,C0043096#C1285591 C0043096#C1285591 C0043096#C1285591,C0231528","insuficiencia,pérdida,fiebre,mialgias","C0231179,C0043096#C1285591_1,C0015967,C0231528"
60,"leucocitosis,desviación","C0023518#C0750426,C0185033#C0333051","cefalea,sudoración profusa","C0018681,C0700590#C0020458 C0700590#C0020458","cefalea,sudoración,leucocitosis,desviación","C0018681,C0700590#C0020458_1,C0023518#C0750426,C0185033#C0333051"
61,"erupción cutánea,edematosas","C0015230 C0015230,C0013604",morfología,C0700329#C0332437,"erupción,placas,eritemato,edematosas,descamación","C0015230_1,C0332461,-,C0013604,C0237849"
62,"hepatitis C tendinitis,hipertricosis","C0019196 C0019196 C0039503,C0020555","hábito,portador","C0018464,C0560175","hábito,enólico,hepatitis,C,tendinitis,ampollas,hipertricosis","C0018464,-,C0019196_1,C0019196_2,C0039503_1,C0005758#C0344311#C1706498,C0020555"
63,"punción,carcinoma epidermoide","C0033119,C0007137 C0007137",fumador,C0337664,"fumador,bebedor,adenopatía,carcinoma","C0337664,-,-,C0007137_1"
64,"cáncer de mama,infección aguda,zona,esclerosis ósea","C0006142#C0678222 C0006142#C0678222 C0006142#C0678222,C0275518 C0275518,C0019360,C0221434 C0221434","Mujer,signos","C0043210#C0015780#C0086418,C0311392","cáncer,metástasis,exposición,infección,esclerosis","C0006142#C0678222_1,C0036525_2,C0274281,C0275518_1,C0221434_1"
66,,,"fallecimiento,accidente automovilístico hermano mayor","C1306577,C1290896#C1367973 C1290896#C1367973 C0337546#C0337537 C0337546#C0337537","sintomatología,ansiosa,humor,depresivo","-,-,C0026516,-"
67,"inestabilidad,infarto","C1444783#C0231444,C0021308","taquicardia sudoración opresión torácica sensación de asfixia,inestabilidad","C0039231 C0038990 C0232292 C0232292 C0008301#C0546947 C0008301#C0546947 C0008301#C0546947,C1444783#C0231444","taquicardia,sudoración,opresión,asfixia,mareo,inestabilidad,infarto","C0039231_1,C0038990_1,C0232292_1,C0008301#C0546947_3,C0012833#C0220870,C1444783#C0231444,C0021308"
68,le,C1292157#C0409974,"Mujer,tristeza,preocupación,problemas,apatía,le","C0043210#C0015780#C0086418,C0344315#C3536794,C0233481#C0549165,C0033213,C0085632,C1292157#C0409974","tristeza,desmotivación,lloros,apatía","C0344315#C3536794,-,-,C0085632"
69,"deterioro,parkinsonismo","C1265875#C0684336#C0231171,C0242422","deterioro,déficit,capacidad,capacidad,alucinaciones,ideas delirantes,fluctuación","C1265875#C0684336#C0231171,C0162429,C0086035,C0086035,C0018524,C0011253 C0011253,C0231239","deterioro,déficit,sintomas,psicóticos,alucinaciones,ideas,delirantes,síntomas,extrapiramidales,parkinsonismo,alteraciones","C1265875#C0684336#C0231171,C0162429,-,-,C0018524,C0011253_1,C0011253_2,C1457887,-,C0242422,-"
70,vómitos vómitos,C0042963 C0042963,"Niño de,nacimiento,exceso de base","C0680063 C0680063,C1148523#C0005615,C0201985#C1330956 C0201985#C1330956 C0201985#C1330956","vómitos,vómitos,visceromoegalias","C0042963_1,C0042963_1,-"
71,zona,C0019360,Niño de,C0680063 C0680063,"tumoración,adenoinegalias","C0577559,-"
72,le,C1292157#C0409974,"niño de,gira,dolor","C0680063 C0680063,C0233591,C0030193",dolor,C0030193
73,"le,Síndrome","C1292157#C0409974,C0012634#C0039082",niño de soplo,C0680063 C0680063 C0006318#C0018808,"asisíomáíico,soplo,Síndrome,de,Wolf-Parkinson","-,C0006318#C0018808_1,C0012634#C0039082,C0332285,-"
74,,,sedimento urinario,C2945609#C1261248 C2945609#C1261248,,
75,,,"Niño de,signos","C0680063 C0680063,C0311392",cojera,C0311395#C1456822
76,"esclerosis múltiple,feocromocitoma","C0026769 C0026769,C0031511",hallazgo,C0243095,"tumor,feocromocitoma","C0027651,C0031511"
77,edemas,C0013604,"cefalea,escotomas,dolor epigástrico,proteinuria","C0018681,C0036454,C0232493 C0232493,C0033687_1","cefalea,escotomas,dolor,edemas,proteinuria","C0018681,C0036454,C0232493_1,C0013604,C0033687_1"
78,"dismenorrea,endometrioma","C0013390,C0269102#C1536148","Mujer,dismenorrea,dolor,tumoración","C0043210#C0015780#C0086418,C0013390,C0030193,C0577559","dismenorrea,dolor,tumoración,doloroso,doloroso,formación,quística,endometrioma","C0013390,C0030193,C0577559,-,-,-,C0205207,C0269102#C1536148"
79,edemas,C0013604,"gestación,edemas,amenorrea,líquido","C0549206#C0032961#C0549169,C0013604,C0002453,C0444611#C1304698#C1697794#C0302908#C1704353","edemas,amenorrea","C0013604,C0002453"
81,,,"Mujer,pubertad,hallazgos,mamas","C0043210#C0015780#C0086418,C0034011,C0243095,C0006141#C0929301#C1268990#C0566398","retraso,menarquia","-,-"
82,tuberculosis pulmonar,C0041327 C0041327,insuficiencia,C0231179,"insuficiencia,tuberculosis","C0231179,C0041327_1"
83,"nódulo,punción,nódulo","C0028259,C0033119,C0028259",,,"nódulo,nódulo","C0028259,C0028259"
84,"hepatomegalia,degeneración hialina","C0019209,C0333438 C0333438","sobrepeso,bebedor habitual","C0497406_1,C0556340 C0556340","diabético,sobrepeso,hepatomegalia,bebedor,vacuolas,claras,citoplásmicas,Focos,inflamatorios,degeneración,fibrosis","-,C0497406_1,C0019209,C0556340_1,-,C2963144#C1306462#C0522503,-,-,C0333348,C0333438_1,C0016059"
85,"tumor,lesiones,cáncer,tumor,carcinoma","C0027651,C0332447#C1313971#C0221198,C1306459#C0936282#C0006826,C0027651,C0007097",,,"tumor,lesiones,cáncer,tumor,células,inflamatorias,carcinoma","C0027651,C0332447#C1313971#C0221198,C1306459#C0936282#C0006826,C0027651,C1269647#C0007634,C0333348,C0007097"
86,síndrome,C0012634#C0039082,Mujer,C0043210#C0015780#C0086418,"orina,síndrome,miccional,Enterococcus,faecalis","C0042036,C0012634#C0039082,-,-,-"
87,neumonía,C0032285#C3714636,,,"neumonía,proceso,diarreico","C0032285#C3714636,C1522240,-"
88,"hematuria,cáncer de mama","C0018965,C0006142#C0678222 C0006142#C0678222 C0006142#C0678222","hematuria,dolor,cólico,mujer","C0018965,C0030193,C0423605#C0232488#C3665357,C0043210#C0015780#C0086418","hematuria,dolor,polaquiuría,piuría,cáncer,metástasis","C0018965,C0030193,-,-,C0006142#C0678222_1,C2939419#C0013930"
89,"tenosinovitis,herida penetrante","C0039520,C0043254 C0043254",,,"tenosinovitis,herida,necrosis","C0039520,C0043254_1,C0027540"
90,,,"mujer,gestación,primípara,ataxia,portador","C0043210#C0015780#C0086418,C0549206#C0032961#C0549169,C0033150,C0004134,C0560175","ataxia,mutación","C0004134,-"
91,"enfermedad,fusión","C0012634#C0039082,C1293131#C0332466","portador,morfología","C0560175,C0700329#C0332437","mutación,enfermedad,de,Charcot-Marie-Tooth","-,C0012634#C0039082,C0332285,-"
92,"tabaquismo,derivaciones","C0040332#C0040336#C1306274#C0425291_1,C1442858#C0542331",dolor torácico opresivo sudoración,C1299600 C1299600 C1299600 C0038990,"tabaquismo,dislipemia,diabetes,dolor,sudoración","C0040332#C0040336#C1306274#C0425291_1,-,-,C1299600_1,C0038990_1"
93,edematoso,C0013604,"mujer,dolor,cefalea,dolor","C0043210#C0015780#C0086418,C0030193,C0018681,C0030193","pérdida,febrícula,dolor,cefalea,pálido,edematoso,dolor,alteraciones","-,-,C0030193,C0018681,C1971630#C0017651,C0013604,C0030193,-"
94,"tuberculosis miliar,disminución","C0041321 C0041321,C0333668#C0547047","somnolencia,diuresis","C2830004,C0012797","tuberculosis,somnolencia,disminución","C0041321_1,C2830004,C0333668#C0547047"
95,,,,,"hepatitis,B","C0019169_4,C0019169_5"
96,"le,lesión,endometrioma,hiperemesis gravídica,sangrado,cavidad,mola hidatiforme completa","C1292157#C0409974,C0332447#C1313971#C0221198,C0269102#C1536148,C0020450#C0269661 C0020450#C0269661,C0019080,C1510420,C0020217#C0678213 C0020217#C0678213 C0020217#C0678213","le,gestación,amenorrea,metrorragia,sangrado,gestación","C1292157#C0409974,C0549206#C0032961#C0549169,C0002453,C0025874,C0019080,C0549206#C0032961#C0549169","lesión,endometrioma,amenorrea,hiperemesis,metrorragia,sangrado,mola,hidatiforme","C0332447#C1313971#C0221198,C0269102#C1536148,C0002453,C0020450#C0269661_1,C0025874,C0019080,C0020217#C0678213_1,C0020217#C0678213_2"
97,"hepatitis vírica,lesiones,hepatomegalia","C0042721 C0042721,C0332447#C1313971#C0221198,C0019209","Mujer,conductas,prurito generalizado,ausencia de lagrimeo,ictericia conjuntival","C0043210#C0015780#C0086418,C0004927,C0475858 C0475858,C0423154 C0423154 C0423154,C0240962 C0240962","conductas,sexuales,de,riesgo,hepatitis,prurito,astenia,sequedad,lagrimeo,lesiones,ictericia,hepatomegalia","C0004927,-,C0332285,-,C0042721_1,C0475858_1,C0004093#C3714552,-,C0423154_3,C0332447#C1313971#C0221198,C0240962_1,C0019209"
98,asma bronquial,C0004096#C0085129#C1319018#C1260881 C0004096#C0085129#C1319018#C1260881,"disnea,tos","C0013404#C0553668,C0010200_1","asma,agudizaciones,disnea,tos","C0004096#C0085129#C1319018#C1260881_1,-,C0013404#C0553668,C0010200_1"
100,"cirrosis hepática,le","C0023890 C0023890,C1292157#C0409974","le,lesión hepática","C1292157#C0409974,C0577053 C0577053","cirrosis,ascitis,varices,lesión","C0023890_1,C0003962,-,C0577053_1"
101,"le,le,epistaxis,hiperbilirrubinemia","C1292157#C0409974,C1292157#C0409974,C0014591,C0020433","le,agitación,le,éxtasis,agitación psicomotriz,asterixis,ictericia","C1292157#C0409974,C0085631,C1292157#C0409974,C0678156,C0085631 C0085631,C0232766,C0022346","agitación,Consumidor,agitación,desorientación,asterixis,ictericia,gingivorragias,epistaxis,hiperbilirrubinemia","C0085631,-,C0085631_1,C0233407,C0232766,C0022346,-,C0014591,C0020433"
102,"masa,estenosis,masa,estenosis,punción,masa,masa,dilatación","C1306372#C0577559,C0009814#C1261287,C1306372#C0577559,C0009814#C1261287,C0033119,C1306372#C0577559,C1306372#C0577559,C0012359","Mujer,ictericia,masa,masa,masa,crisis,broncoespasmo,problema,ictericia,masa","C0043210#C0015780#C0086418,C0022346,C1306372#C0577559,C1306372#C0577559,C1306372#C0577559,C0231224,C0006266,C0033213,C0022346,C1306372#C0577559","ictericia,masa,estenosis,masa,estenosis,masa,células,malignas,broncoespasmo,problema,ictericia,dilatación","C0022346,C1306372#C0577559,C0009814#C1261287,C1306372#C0577559,C0009814#C1261287,C1306372#C0577559,C1269647#C0007634,C0205282,C0006266,C0033213,C0022346,C0012359"
103,pancreatitis aguda,C0001339#C0341461 C0001339#C0341461,mujer,C0043210#C0015780#C0086418,pancreatitis,C0001339#C0341461_1
104,"pancreatitis aguda,leucocitosis","C0001339#C0341461 C0001339#C0341461,C0023518#C0750426","fiebre,leucocitosis,sedimento urinario","C0015967,C0023518#C0750426,C2945609#C1261248 C2945609#C1261248","pancreatitis,necrosis,fiebre,leucocitosis","C0001339#C0341461_1,C0027540,C0015967,C0023518#C0750426"
105,"apendicitis,vómitos,dilatación","C0003615,C0042963_1,C0012359","Mujer,distensión abdominal distensión abdominal","C0043210#C0015780#C0086418,C0000731 C0000731 C0000731 C0000731","apendicitis,vómitos,distensión,deposición,diarreica,distensión,timpanismo,irritación,dilatación","C0003615,C0042963_1,C0000731_1,-,-,C0000731_1,C0000731#C1291077,C0441723,C0012359"
106,EPOC,C0024117,,,EPOC,C0024117
107,"alergia,asma bronquial","C0020517,C0004096#C0085129#C1319018#C1260881 C0004096#C0085129#C1319018#C1260881","mujer,disnea de esfuerzo","C0043210#C0015780#C0086418,C0231807 C0231807 C0231807","asma,agudizaciones,disnea","C0004096#C0085129#C1319018#C1260881_1,-,C0231807_1"
108,"infecciones,disminución","C0009450,C0333668#C0547047","disnea,fumador,murmullo vesicular,signos,atrapamiento aéreo","C0013404#C0553668,C0337664,C0231857 C0231857,C0311392,C0231819 C0231819","disnea,expectoración,infecciones,disminución,alargada,hiperínsuflación,atrapamiento","C0013404#C0553668,C0232515#C0038056,C0009450,C0333668#C0547047,-,-,C0231819_1"
109,,,"ronquidos,somnolencia diurna,síntomas,signos","C0037384,C2219848 C2219848,C1457887,C0311392","fumador,ronquidos,somnolencia,Somnolencia","C0337672_2,C0037384,C2219848_1,C2830004"
110,"esquizofrenia,neumonía,derrame pleural,leucocitosis","C0036341,C0032285#C3714636,C0032227 C0032227,C0023518#C0750426","Mujer,hábitos,persistencia,leucocitosis","C0043210#C0015780#C0086418,C0018464,C0546816,C0023518#C0750426","esquizofrenia,hábitos,tóxicos,neumonía,derrame,febrícula,leucocitosis","C0036341,C0018464,-,C0032285#C3714636,C0032227_1,-,C0023518#C0750426"
111,,,"disnea,malestar general","C0013404#C0553668,C0234215#C0231218 C0234215#C0231218","Diabético,disnea,malestar","-,C0013404#C0553668,C0234215#C0231218_1"
