kasuZbkia,gaixotasunak,gaixotasunUMLS,sintomak,sintomenUMLS,gaixSin,gaixSinUMLS
10,"DM tipo 2,le,edemas","C0011860,C1292157#C0409974,C0013604","tos seca,le,disnea,edemas,Soplo sistólico,ruido,sibilancias,hallazgos","C0850149,C1292157#C0409974,C0013404#C0553668,C0013604,C0232257,C0006318,C0043144#C0392681,C0243095","HTA,Hipofonesis","-,-"
11,cardiopatía,C0018799,"problemas,taquicardia","C0033213,C0039231",palpitaciones,-
12,hipertensión arterial esencial,C0085580,mujer,C0043210#C0015780#C0086418,,
13,,,,,pérdida,-
14,"infarto agudo de miocardio,hipotensión,edema agudo de pulmón","C0155626,C0020649,C0155919","portador,soplo pansistólico","C0560175,C0232258",,
15,"hipertensión arterial,tabaquismo,derivaciones","C0020538,C0040332#C0040336#C1306274#C0425291,C1442858#C0542331","dolor,palidez,sudoración profusa,soplo diastólico,taquicardia sinusal","C0030193,C0030232#C1275397,C0700590#C0020458,C0232262,C0039239",,
16,"turista,traumatismos","C0277528,C3263723",disnea,C0013404#C0553668,,
17,,,"disnea,tos,somnolencia","C0013404#C0553668,C0010200,C2830004","EPOC,expectoración","-,C0232515#C0038056"
18,,,,,adenopatías,-
19,síncope,C0039070#C0332521,"mujer,síncope,mareo,disnea,taquicardia,soplos,galope","C0043210#C0015780#C0086418,C0039070#C0332521,C0012833#C0220870,C0013404#C0553668,C0039231,C0006318#C0018808,C0232200",sudorosa,-
20,"masa,lesión,metástasis,carcinoma","C1306372#C0577559,C0332447#C1313971#C0221198,C2939419#C0013930,C0007097","fumador,tos,masa,hallazgo","C0337664,C0010200,C1306372#C0577559,C0243095","expectoración,adenopatías","C0232515#C0038056,-"
21,,,"síntomas,debilidad","C1457887,C0424594#C0004093#C3714552",dificultad,C1299586#C0332218
22,epilepsia,C0014544,llanto,C0010399,,
23,"miastenia gravis,dificultad para tragar,crisis miasténica","C0026896,C0011168,C0270942","dificultad para tragar,ruido,ronquido","C0011168,C0006318,C0037384","diplopia,sudoroso,fatigado","-,-,-"
24,"disminución,náuseas y vómitos,masa,erosión","C0333668#C0547047,C0027498,C1306372#C0577559,C0333307","Mujer,cefalea,masa","C0043210#C0015780#C0086418,C0018681,C1306372#C0577559","Hipotensa,oftalmoparesia,afectación","-,-,-"
25,"le,síndrome de Cushing","C1292157#C0409974,C0001622#C0010481","mujer,obesa,le","C0043210#C0015780#C0086418,C0028754,C1292157#C0409974",síndrome de Cushing ACTH,C0001622#C0010481 -
26,"poliuria,le","C0032617,C1292157#C0409974","polidipsia,poliuria,tos,respiración profunda,fiebre,cetonuria,le","C1994994#C0085602,C0032617,C0010200,C1328799#C0220854,C0015967,C0162275,C1292157#C0409974","deterioro,náuseas,sensación febril,sequedad","C1279889,-,C0036658#C1455667 C0015967,-"
27,"disminución,poliuria,desviaciones,le","C0333668#C0547047,C0032617,C0185033#C0333051,C1292157#C0409974","cefaleas,problemas,polidipsia,poliuria,hemianopsia,le","C0018681,C0033213,C1994994#C0085602,C0032617,C0018979,C1292157#C0409974",menarquia,-
28,"fractura,fracturas,traumatismo","C0016658,C0016658,C3263723",dolor intenso,C0458256,,
29,disminución,C0333668#C0547047,déficit,C0162429,,
30,"hipertensión arterial,les","C0020538,C1292157#C0409974",les,C1292157#C0409974,,
31,leucemia,C0023418,"astenia,palidez","C0004093#C3714552,C0030232#C1275397",,
32,"esplenomegalia,le","C0038002,C1292157#C0409974","Morfología,le","C0700329#C0332437,C1292157#C0409974","aniso-poiquilocitosis,dacriocitos","-,-"
33,"epistaxis,anemia,leucopenia,trombopenia","C0014591,C0002871#C0221395#C1510654,C0023530#C0750394,C0040034","debilidad,fatiga,leucopenia","C0424594#C0004093#C3714552,C0015672,C0023530#C0750394",,
34,tumefacción,C0038999,"Mujer,tumefacción","C0043210#C0015780#C0086418,C0038999",ocupación,C0028811
35,"sangrado,hemorragia,le","C0019080,C0019080,C1292157#C0409974","Mujer,sangrado,hemorragia,le","C0043210#C0015780#C0086418,C0019080,C0019080,C1292157#C0409974",,
36,"le,artritis reumatoide,enfermedad","C1292157#C0409974,C0003873,C0012634#C0039082","mujer,le","C0043210#C0015780#C0086418,C1292157#C0409974",poliartritis,C0162323
37,disminución,C0333668#C0547047,"varón,rigidez,dolor","C0086582,C0427008#C0026837,C0030193","diabético,calcificaciones","-,C1533591"
38,"artritis simétrica,erupción,hipertensión arterial","C0427306,C0015230#C0302295,C0020538",Mujer,C0043210#C0015780#C0086418,"febrícula,hipocomplementemia","-,-"
39,"fractura cerrada del radio,reducción,yeso,osteoporosis,fractura","C0272622,C0333668,C0179686#C0460977#C0302143,C0029456,C0016658","Mujer,fumadora","C0043210#C0015780#C0086418,C0337664",,
40,Lupus Eritematoso Sistémico,C0024141,mujer,C0043210#C0015780#C0086418,"actividad inflamatoria,dolor","C0441655 C0333348,C1719974"
41,"tumefacción,compresión","C0038999,C0332459#C1285497","caída,tumefacción,hormigueos,disestesias","C0085639,C0038999,C0016579,C0392699",,
42,"epilepsia,adicción a drogas,compresión,edematosa,sedimento,le","C0014544,C1510472,C0332459#C1285497,C0013604,C0333562,C1292157#C0409974","Dolor difuso,orina oscura,proteinuria,le,insuficiencia","C0520963,C0426396,C0033687,C1292157#C0409974,C0231179",comatoso,-
43,"hematuria macroscópica,amigdalitis","C0473237,C0040425","artralgia,dolor abdominal","C0003862,C0000737",,
44,"hipertensión arterial,infarto de miocardio","C0020538,C0027051","dificultad para caminar,malestar general","C0311394,C0234215#C0231218",ictus,-
45,hematuria,C0018965,"hematuria,dolor,cólico","C0018965,C0030193,C0423605#C0232488#C3665357","polaquiuría,piuría","-,-"
46,,,"cantidades,posición corporal,fiebre,disuria,incontinencia urinaria","C1265611#C0237753,C1262869,C0015967,C0013428,C0042024#C0312413",,
47,neumonía adquirida en la comunidad,C0694549,"fumador,escalofríos,fiebre,tos","C0337664,C0234192#C0085593#C0424790,C0015967,C0010200",expectoración,C0232515#C0038056
48,"artritis reumatoide,herpes zoster,quemosis","C0003873,C0019360,C0271298",Mujer,C0043210#C0015780#C0086418,,
49,"vegetación,endocarditis","C1285498,C0014118","fiebre,pérdida de peso,disnea de esfuerzo,soplo diastólico,estigmas","C0015967,C0043096#C1285591,C0231807,C0232262,C0277787","embolismos,Streptococcus bovis","-,-"
50,"hipotensión,enfermedad de Hodgkin","C0020649,C0019829",fiebre,C0015967,,
51,"desviación,litiasis","C0185033#C0333051,C0023869","mujer,fiebre,dolor","C0043210#C0015780#C0086418,C0015967,C0030193",,
52,"induración,le","C0332534,C1292157#C0409974","adicto,le","C0700285,C1292157#C0409974",VIH,C0458074#C0019682
53,"le,exantema,petequias","C1292157#C0409974,C0015230,C0031256","mujer,fiebre,cefalea,le","C0043210#C0015780#C0086418,C0015967,C0018681,C1292157#C0409974",artroniialgias,-
54,"síndrome,lesión,hepatomegalia,masa,lesiones","C0012634#C0039082,C0332447#C1313971#C0221198,C0019209,C1306372#C0577559,C0332447#C1313971#C0221198","dolor,masa","C0030193,C1306372#C0577559","síndrome constitucional,lesión","C0012634#C0039082 -,C0221204"
55,"metástasis,carcinoma","C2939419#C0013930,C0007097",,,,
56,"demencia,neumonía aspirativa,úlcera por presión","C0497327,C0032290#C1761609,C0011127","No se comunica,mujer","C0566002,C0043210#C0015780#C0086418",,
57,"fractura de cadera,hipertensión arterial,hiperlipemia,demencia,fractura","C0435805#C0019557#C0015806,C0020538,C0020473,C0497327,C0016658","mujer,presión venosa yugular normal,ritmo sinusal","C0043210#C0015780#C0086418,C0520859,C0232201",alteraciones,-
58,"hipertensión arterial,artrosis","C0020538,C0029408","mujer,cansancio,debilidad,síntomas,mareo,incontinencia urinaria,temblor,Gira,actuaciones","C0043210#C0015780#C0086418,C0015672#C0475255,C0424594#C0004093#C3714552,C1457887,C0012833#C0220870,C0042024#C0312413,C0040822#C1527384,C0541749,C0699820",,
59,,,"pérdida de peso,fiebre,mialgias","C0043096#C1285591,C0015967,C0231528",,
60,"leucocitosis,desviación,crisis hipertensiva","C0023518#C0750426,C0185033#C0333051,C0151620#C0020546","cefalea,sudoración profusa,leucocitosis,masa suprarrenal","C0018681,C0700590#C0020458,C0023518#C0750426,C0342500",,
61,"erupción cutánea,placas,edematosas","C0015230,C0332461,C0013604",morfología,C0700329#C0332437,"placas eritemato,descamación","C0332461 -,C0237849"
62,"hepatitis C,tendinitis,ampollas,hipertricosis","C0019196,C0039503,C0005758#C0344311#C1706498,C0020555","hábito,portador","C0018464,C0560175","hábito enólico,virus","C0018464 -,C0042776"
63,"punción,carcinoma epidermoide,tumor","C0033119,C0007137,C0027651",fumador,C0337664,"bebedor,adenopatía","-,-"
64,"cáncer de mama,exposición,infección aguda,zona,esclerosis ósea","C0006142#C0678222,C0274281,C0275518,C0019360,C0221434","Mujer,signos","C0043210#C0015780#C0086418,C0311392",metástasis,C0036525
65,tumefacción,C0038999,"fiebre,tumefacción,dolor","C0015967,C0038999,C0030193","mal,trísmus","C0205169,-"
66,,,"fallecimiento,accidente automovilístico,hermano mayor","C1306577,C1290896#C1367973,C0337546#C0337537","sintomatología ansiosa,humor depresivo","-,C0026516"
67,"inestabilidad,infarto","C1444783#C0231444,C0021308","taquicardia,sudoración,opresión torácica,sensación de asfixia,mareo,inestabilidad","C0039231,C0038990,C0232292,C0008301#C0546947,C0012833#C0220870,C1444783#C0231444",patología,C0030664
68,le,C1292157#C0409974,"Mujer,tristeza,preocupación,problemas,apatía,le","C0043210#C0015780#C0086418,C0344315#C3536794,C0233481#C0549165,C0033213,C0085632,C1292157#C0409974","desmotivación,lloros,patología","-,-,C0030664"
69,"deterioro,parkinsonismo","C1265875#C0684336#C0231171,C0242422","deterioro,déficit,capacidad,alucinaciones,ideas delirantes,síntomas,fluctuación","C1265875#C0684336#C0231171,C0162429,C0086035,C0018524,C0011253,C1457887,C0231239","sintomas psicóticos,síntomas extrapiramidales,alteraciones","-,C1457887,-"
70,vómitos,C0042963,"Niño de,embarazo,nacimiento,exceso de base","C0680063,C0549206#C0032961#C0549169,C1148523#C0005615,C0201985#C1330956",visceromoegalias,-
71,zona,C0019360,"Niño de,tumoración","C0680063,C0577559",adenoinegalias,-
72,le,C1292157#C0409974,"niño de,le,gira,dolor","C0680063,C1292157#C0409974,C0233591,C0030193",,
73,"le,Síndrome","C1292157#C0409974,C0012634#C0039082","niño de,soplo,le","C0680063,C0006318#C0018808,C1292157#C0409974","asisíomáíico,Síndrome de Wolf-Parkinson","-,C0012634#C0039082 C0332285"
74,,,"sedimento urinario,conducta","C2945609#C1261248,C0004927",,
75,,,"Niño de,cojera,signos","C0680063,C0311395#C1456822,C0311392",,
76,"tumor,feocromocitoma","C0027651,C0031511",,,,
77,edemas,C0013604,"cefalea,escotomas,dolor epigástrico,edemas,proteinuria","C0018681,C0036454,C0232493,C0013604,C0033687",,
78,"dismenorrea,endometrioma","C0013390,C0269102#C1536148","Mujer,dismenorrea,dolor,tumoración","C0043210#C0015780#C0086418,C0013390,C0030193,C0577559","doloroso,formación quística","-,- C0205207"
79,edemas,C0013604,"gestación,edemas,amenorrea,líquido","C0549206#C0032961#C0549169,C0013604,C0002453,C0444611#C1304698#C1697794#C0302908#C1704353",,
80,acné,C0702166,mujer,C0043210#C0015780#C0086418,"baches,aumento","C0562973,C0442805"
81,,,"Mujer,pubertad,hallazgos,mamas","C0043210#C0015780#C0086418,C0034011,C0243095,C0006141#C0929301#C1268990#C0566398","retraso,menarquia","-,-"
82,tuberculosis pulmonar,C0041327,insuficiencia,C0231179,,
83,"nódulo,punción","C0028259,C0033119",,,,
84,"hepatomegalia,degeneración hialina,fibrosis","C0019209,C0333438,C0016059","sobrepeso,bebedor habitual","C0497406,C0556340","diabético,vacuolas claras citoplásmicas,Focos inflamatorios","-,- C2963144#C1306462#C0522503,- C0333348"
85,"tumor,lesiones,cáncer,carcinoma","C0027651,C0332447#C1313971#C0221198,C1306459#C0936282#C0006826,C0007097",,,células inflamatorias,C1269647#C0007634 C0333348
86,síndrome,C0012634#C0039082,Mujer,C0043210#C0015780#C0086418,"orina,síndrome miccional,Enterococcus faecalis","C0042036,C0012634#C0039082 -,-"
87,neumonía,C0032285#C3714636,,,proceso diarreico,C1522240 -
88,"cáncer de mama,metástasis","C0006142#C0678222,C2939419#C0013930",mujer,C0043210#C0015780#C0086418,,
89,"tenosinovitis,herida penetrante,necrosis","C0039520,C0043254,C0027540",,,,
90,,,"mujer,gestación,primípara,ataxia,portador","C0043210#C0015780#C0086418,C0549206#C0032961#C0549169,C0033150,C0004134,C0560175","mutación,DPN","-,-"
91,"enfermedad,fusión","C0012634#C0039082,C1293131#C0332466","portador,morfología","C0560175,C0700329#C0332437","mutación,enfermedad de Charcot-Marie-Tooth","-,C0012634#C0039082 C0332285"
92,"tabaquismo,derivaciones","C0040332#C0040336#C1306274#C0425291,C1442858#C0542331","dolor torácico opresivo,sudoración","C1299600,C0038990","dislipemia,diabetes","-,-"
93,edematoso,C0013604,"mujer,dolor,cefalea","C0043210#C0015780#C0086418,C0030193,C0018681","pérdida,febrícula,pálido,alteraciones","-,-,C1971630#C0017651,-"
94,"tuberculosis miliar,disminución","C0041321,C0333668#C0547047","somnolencia,diuresis","C2830004,C0012797",,
95,le,C1292157#C0409974,le,C1292157#C0409974,hepatitis B,C0019169
96,"hiperemesis gravídica,sangrado,cavidad,mola hidatiforme completa","C0020450#C0269661,C0019080,C1510420,C0020217#C0678213","gestación,amenorrea,metrorragia,sangrado","C0549206#C0032961#C0549169,C0002453,C0025874,C0019080",,
97,"hepatitis vírica,lesiones,hepatomegalia","C0042721,C0332447#C1313971#C0221198,C0019209","Mujer,conductas,prurito generalizado,astenia,ausencia de lagrimeo,ictericia conjuntival","C0043210#C0015780#C0086418,C0004927,C0475858,C0004093#C3714552,C0423154,C0240962","conductas sexuales de riesgo,sequedad","C0004927 - C0332285 -,-"
98,asma bronquial,C0004096#C0085129#C1319018#C1260881,"disnea,tos","C0013404#C0553668,C0010200",agudizaciones,-
99,"vómitos,gastroparesia diabética","C0042963,C0267176",mujer,C0043210#C0015780#C0086418,"diabética,sensación de saciedad,nauseas,pérdida","-,C0036658#C1455667 C0332285 C0036239,-,-"
100,"cirrosis hepática,ascitis,le","C0023890,C0003962,C1292157#C0409974","le,lesión hepática","C1292157#C0409974,C0577053",varices,-
101,"le,epistaxis,hiperbilirrubinemia","C1292157#C0409974,C0014591,C0020433","agitación,le,éxtasis,agitación psicomotriz,desorientación,asterixis,ictericia","C0085631,C1292157#C0409974,C0678156,C0085631,C0233407,C0232766,C0022346","Consumidor,gingivorragias","-,-"
102,"masa,estenosis,punción,dilatación","C1306372#C0577559,C0009814#C1261287,C0033119,C0012359","Mujer,ictericia,masa,crisis,broncoespasmo,problema","C0043210#C0015780#C0086418,C0022346,C1306372#C0577559,C0231224,C0006266,C0033213",células malignas,C1269647#C0007634 C0205282
103,"pancreatitis aguda,enfermedad","C0001339#C0341461,C0012634#C0039082",mujer,C0043210#C0015780#C0086418,,
104,"pancreatitis aguda,necrosis,leucocitosis","C0001339#C0341461,C0027540,C0023518#C0750426","fiebre,leucocitosis,sedimento urinario","C0015967,C0023518#C0750426,C2945609#C1261248",,
105,"apendicitis,vómitos,dilatación","C0003615,C0042963,C0012359","Mujer,distensión abdominal,timpanismo","C0043210#C0015780#C0086418,C0000731,C0000731#C1291077","deposición diarreica,irritación","-,C0441723"
106,EPOC,C0024117,,,,
107,"alergia,asma bronquial","C0020517,C0004096#C0085129#C1319018#C1260881","mujer,disnea de esfuerzo","C0043210#C0015780#C0086418,C0231807",agudizaciones,-
108,"infecciones,disminución","C0009450,C0333668#C0547047","disnea,fumador,murmullo vesicular,hallazgos,signos,atrapamiento aéreo","C0013404#C0553668,C0337664,C0231857,C0243095,C0311392,C0231819","expectoración,alargada,hiperínsuflación","C0232515#C0038056,-,-"
109,,,"ronquidos,somnolencia diurna,Somnolencia,síntomas,signos","C0037384,C2219848,C2830004,C1457887,C0311392",fumador,C0337672
110,"esquizofrenia,neumonía,derrame pleural,leucocitosis","C0036341,C0032285#C3714636,C0032227,C0023518#C0750426","Mujer,hábitos,persistencia,leucocitosis,conducta","C0043210#C0015780#C0086418,C0018464,C0546816,C0023518#C0750426,C0004927","hábitos tóxicos,febrícula","C0018464 -,-"
111,,,"disnea,malestar general","C0013404#C0553668,C0234215#C0231218",Diabético,-
112,"accidente cerebrovascular,hipertensión arterial,diabetes mellitus tipo 2,reducción","C0038454#C1540600,C0020538,C0011860,C0333668",mujer,C0043210#C0015780#C0086418,,
113,"hipopotasemia,síndrome de realimentación","C0020621#C1971021#C0032827,C0860549",insuficiencia,C0231179,hipofosforemia,-
114,obesidad,C0028754#C0451819#C1563743,"dietas,dieta","C0012155,C0012155",,
115,"trombosis,fractura de Colles,anemia","C0087086#C0003148#C0040053,C0009353,C0002871#C0221395#C1510654","cansancio,dolor óseo","C0015672#C0475255,C0151825",,
116,"equimosis,hipertensión arterial,Obesidad,disminución,osteoporosis,le","C0013491,C0020538,C0028754#C0451819#C1563743,C0333668#C0547047,C0029456,C1292157#C0409974","dolores,equimosis,le","C0030193,C0013491,C1292157#C0409974","dificultad,facies,aumento,estrías,aplastamientos","C1299586#C0332218,C0282631,C0442805,-,-"
117,"bulto,zona,masa","C0577559,C0019360,C1306372#C0577559","Mujer,bulto,masa","C0043210#C0015780#C0086418,C0577559,C1306372#C0577559",adenopatías,-
118,,,"Niño de,distracciones","C0680063,C0424537#C1369038",,
119,"Diabetes Mellitus tipo 2,deterioro,atrofia,zona,trastorno,trastornos,traumatismo","C0011860,C1265875#C0684336#C0231171,C0333641#C0037154,C0019360,C0012634#C0039082,C0012634#C0039082,C3263723","deterioro,alucinaciones,temblor","C1265875#C0684336#C0231171,C0018524,C0040822#C1527384","VIH,trastorno conductual,focalidad","C0458074#C0019682,C0012634#C0039082 -,-"
120,"insomnio,síndrome de piernas inquietas","C0917801#C0424566,C0035258","Mujer,sensación de hormigueo,síntomas","C0043210#C0015780#C0086418,C0423572,C1457887",quemazón,-
121,"lesión,livedo reticularis,lesiones","C0332447#C1313971#C0221198,C1281186#C0085642,C0332447#C1313971#C0221198",desorientación,C0233407,hipertenso,-
122,"hipertensión arterial,estenosis","C0020538,C0009814#C1261287",Mujer,C0043210#C0015780#C0086418,,
123,infarto agudo de miocardio,C0155626,"Mujer,disnea,tos seca,dolor torácico opresivo,ruidos,sibilancias,Taquicardia sinusal,inversión de la onda T","C0043210#C0015780#C0086418,C0013404#C0553668,C0850149,C1299600,C0006318,C0043144#C0392681,C0039239,C0520888","HTA,crepitantes","-,-"
124,valvulopatía,C0018824,"insuficiencia,soplo holosistólico","C0231179,C0232258",,
125,angina de esfuerzo,C0577698,soplo sistólico,C0232257,,
126,lesión,C0332447#C1313971#C0221198,"Mujer,dolor","C0043210#C0015780#C0086418,C0030193","hipertensa,cordones varicosos","-,- C0439652"
127,hipotensión arterial,C0020649,"dolor precordial,ansiedad","C0232286,C0003467",disección,C0012737
128,"síndrome coronario agudo,edema agudo de pulmón","C0948089,C0155919","portador,insuficiencia","C0560175,C0231179",,
129,"le,anemia,esplenomegalia","C1292157#C0409974,C0002871#C0221395#C1510654,C0038002","mujer,le,ictericia conjuntival","C0043210#C0015780#C0086418,C1292157#C0409974,C0240962",litiasis,C0242216
130,"tumefacción,traumatismo","C0038999,C3263723","Niño de,tumefacción,problemas","C0680063,C0038999,C0033213",hemartros,-
131,"cáncer,mala perfusión periférica,inversión","C1306459#C0936282#C0006826,C0520547#C1328773,C0021945","mujer,dolor pleurítico,disnea,taquipneica,signos,mala perfusión periférica,conducta","C0043210#C0015780#C0086418,C0008033,C0013404#C0553668,C0231835,C0311392,C0520547#C1328773,C0004927",,
132,"accidente cerebrovascular,Policitemia Vera","C0038454#C1540600,C0032463",,,fumador,C0337672
133,"epistaxis,petequias,equimosis,trombocitopenia,púrpura trombocitopénica,PTI","C0014591,C0031256,C0013491,C0040034,C0857305,C0398650","mujer,equimosis,trombocitopenia","C0043210#C0015780#C0086418,C0013491,C0040034",,
134,"Diabetes Mellitus,infiltraciones,inflamación progresiva,impotencia,derrame,derrame articular,purulento","C0011849,C0702249#C0332448,C1265828,C0242350,C0013687,C1253936#C0311222,C0439665","Mujer,dolor intenso,impotencia,fiebre,tensión,dolor,líquido,conducta","C0043210#C0015780#C0086418,C0458256,C0242350,C0015967,C0038435,C0030193,C0444611#C1304698#C1697794#C0302908#C1704353,C0004927","insulín,gonartrosis,aumento,cambios degenerativos","-,-,C0442805,C0443172"
135,artritis,C0003864,artritis,C0003864,bebedor,-
136,"monoartritis,pericarditis,leucocitosis,neutrofilia","C0158026,C0031046,C0023518#C0750426,C3665444#C1282609#C0151683","fiebre,dolor a la palpación,signos,leucocitosis,neutrofilia","C0015967,C0234233,C0311392,C0023518#C0750426,C3665444#C1282609#C0151683","dolor,peritonismo","C1719974,-"
137,enfermedad,C0012634#C0039082,"Varón,cefalalgias","C0086582,C0018681",,
138,"eritema nodoso,inflamación,uveítis anterior","C0014743,C0021368#C0302158,C0022073#C0042165",Mujer,C0043210#C0015780#C0086418,"febrícula,adenopatías","-,-"
139,desplazamiento anterior,C0333043,,,,
140,"deformidad,le","C0302142,C1292157#C0409974","energía,deformidad,le,dolor","C0424589,C0302142,C1292157#C0409974,C0030193",,
141,"estenosis mitral reumática,vegetación","C0264766,C1285498","fiebre,disnea,estertores húmedos","C0015967,C0013404#C0553668,C0425545","comisurotomía,Streptococcus del grupo viridans","C0190080,- C0441833#C1257890 -"
142,"purulenta,desviación,le","C0439665,C0185033#C0333051,C1292157#C0409974","tos,fiebre,orientado en tiempo,estertores crepitantes,soplo,le","C0010200,C0015967,C1961029,C0034642,C0006318#C0018808,C1292157#C0409974","fumador,bebedor,diabético,expectoración","C0337672,-,-,C0232515#C0038056"
143,con infección,C0439663,"fiebre,malestar general","C0015967,C0234215#C0231218","VIH,adenopatías","C0458074#C0019682,-"
144,"psoriasis,le,induración","C0033860,C1292157#C0409974,C0332534",le,C1292157#C0409974,necrosis,C1562242
145,"Diabetes Mellitus tipo 2,Infección,tumefacción,disminución,le","C0011860,C0009450,C0038999,C0333668#C0547047,C1292157#C0409974","fiebre,tumoración,tumefacción,le","C0015967,C0577559,C0038999,C1292157#C0409974","fumador,Hipertenso","C0337671,-"
146,"lesiones,meningitis","C0332447#C1313971#C0221198,C0025289","fiebre,cefalea frontal,rigidez de nuca,líquido","C0015967,C0239886,C1320474#C0151315,C0444611#C1304698#C1697794#C0302908#C1704353","sensación nauseosa,Kernig","C0036658#C1455667 -,C0240103"
147,"hematuria,infecciones","C0018965,C0009450","hematuria,proteinuria","C0018965,C0033687",,
148,"diabetes mellitus,hipertensión arterial,disminución,hipopotasemia","C0011849,C0020538,C0333668#C0547047,C0020621#C1971021#C0032827","cansancio,disnea,tos,síntomas urinarios","C0015672#C0475255,C0013404#C0553668,C0010200,C0426359",broncopatía,-
149,anemia,C0002871#C0221395#C1510654,"insuficiencia,volumen","C0231179,C0449468#C0178733",,
150,"enfermedad renal crónica,le,enfermedad","C0403447,C1292157#C0409974,C0012634#C0039082",le,C1292157#C0409974,poliquistosis,-
151,"espondilitis anquilosante,hipoalbuminemia,edemas,hematuria,deformidad","C0038013,C0239981,C0013604,C0018965,C0302142","proteinuria,edemas,sedimento urinario,hematuria,deformidad","C0033687,C0013604,C2945609#C1261248,C0018965,C0302142",,
152,extrasístoles ventriculares,C0151636,"astenia,debilidad muscular","C0004093#C3714552,C0151786","hipertensión,QT","-,-"
153,"le,hematuria,leucocitosis","C1292157#C0409974,C0018965,C0023518#C0750426","fiebre,hallazgos,le,hematuria,leucocitosis","C0015967,C0243095,C1292157#C0409974,C0018965,C0023518#C0750426",leucocituria,-
154,hematuria macroscópica,C0473237,,,,
155,tumor,C0027651,varón,C0086582,,
156,"adenocarcinoma,carcinomatosis peritoneal,vómitos,obstrucción intestinal","C0001418,C0346990,C0042963,C0021843#C1258215",dolor cólico,C0232488#C0458254,"metátasis,Encamado,nauseas","-,-,-"
157,Fibrilación ventricular,C0042510,inconsciente,C0041657,FV,-
158,coma,C0009421,"dolor,coma","C0030193,C0009421",pérdida,-
159,"obesidad,diabetes mellitus,hiperlipidemia,cardiopatía hipertensiva,fibrilación auricular,hipotiroidismo,fractura de muñeca,masa","C0028754#C0451819#C1563743,C0011849,C0020473,C0152105#C0694541,C0004238,C0020676,C0435630,C1306372#C0577559","mujer,disfunción diastólica,masa","C0043210#C0015780#C0086418,C0520863,C1306372#C0577559","hipertensión,fractura","-,-"
160,"cáncer,cardiopatía isquémica","C1306459#C0936282#C0006826,C0002962#C0151744",,,,
161,"colecistitis aguda,extrasístoles ventriculares,disminución,hipoxemia,hipercapnia,acidosis metabólica","C0149520,C0151636,C0333668#C0547047,C0700292#C0242184,C0020440,C0220981",taquicardia,C0039231,,
162,"disfonía,rinorrea,hipertróficas","C1527347#C1527344#C1527340#C0042940,C1260880,C0020564","fiebre,odinofagia,rinorrea","C0015967,C0221150,C1260880","amígdalas,eritematosas","C1285794,-"
163,"disfonía,disfagia,enfermedades","C1527347#C1527344#C1527340#C0042940,C0232520#C0011168,C0012634#C0039082","mujer,parálisis,disfagia","C0043210#C0015780#C0086418,C0522224#C0553727,C0232520#C0011168",acufenos,-
164,"rinorrea,erosiones","C1260880,C0333307","Mujer,obstrucción nasal,rinorrea","C0043210#C0015780#C0086418,C0027429,C1260880","pesadez,ocupación,calcificaciones,dilatado","C0444674,C0028811,C1533591,-"
165,"inestabilidad,le","C1444783#C0231444,C1292157#C0409974","Mujer,vértigo,inestabilidad,hipoacusia,fluctuante,le","C0043210#C0015780#C0086418,C0042571,C1444783#C0231444,C1384666,C0231240,C1292157#C0409974","sensación de plenitud ótica derecha,acúfenos","C0036658#C1455667 C0332285 C0439650 - -,-"
