year,question_id_specific,question_id_general,question_id_final,canceled,full_question,full_answer,full_answer_references,type,difficulty,difficulty_percentage,associated_image,option_1,option_2,option_3,option_4,option_5,correct_answer,Zalantzazkoa,Ez da guztiz egokia
2011,150,,,,Niño de de año y medio que acude a urgencias por presentar dolor abdominal e ictericia. En la exploración se palpa una masa abdominal. Al realizar una ecografía se observa la presencia de un quiste de colédoco ¿Qué actitud terapéutica adoptaremos?,Creo que la respuesta correcta es la 4 el quiste de colédoco es una patología rara pero su tratamiento es quirúrgico y consiste en la resección del quiste y hepaticoyeyunosotmía. La colangioresonancia es necesaria para elegir al técnica adecuada para las cuatro clases de quiste de colédoco existentes (clasificación de Todani).,,CIRUGÍA,,,,Se realizara una punción percutánea para lavado peritoneal para comprobar que el quiste contiene bilis para dejar un drenaje que mejore el dolor abdominal.,Se indicará una resección radical de toda la vía bilair para sustiruirla por un asa de intestino.,Se de indicará una laparotomía exploradora y un drenaje del quiste y cuando remita la dilatación se retirará el drenaje.,Se realizará una colangioresonancia  para delimitar el quiste y se indicará una laparotomía para la resección del quiste y anastomsosis de la vía biliar.,Es necesaria la gammagrafía con HIDA para delimitar el quiste y poder realizar el drenaje percutáneo con seguridad.,4,,
2011,213,,,,Un hombre de 41 años acude a consulta por un nódulo en el tiroides derecho se realiza una punción aspiración con aguja fina. El análisis citológico nos permitirá:,"Creo que la respuesta correcta es la 5; la PAAF no permite hacer un estudio histológico si no citológico por lo tanto se eliminan las preguntas 1, 2. La 3 parece que se ha puesto de relleno porque no viene al caso. La 4 podría hacer dudar si no eres patólogo perola respuesta más lógica es la 5 ya que el carcinoma papilar es el más frecuente.",,CIRUGÍA,,,,Distingue entre adenoma folicular o carcinoma folicular mínimamente invasivo.,Identificar las zonas de invasión capsular o vascular del carcinoma folicular.,Reconocer la hiperplasia de células G asociadas a cáncer medular familiar.,Distinguir entre un tumor de células de Hurthle y un adenoma folicular oxifilia.,Identificar las características citológicas típicas del carcinoma papilar.,5,,
2011,126,,,,"Por tercera vez en los últimos 6 meses un hombre de 84 años de edad con demencia avanzada ingresa en un hospital por neumonía aspirativa. Ha perdido 9.5 kg en los últimos 10 meses. Tiene una úlcera por presión en el sacro. No se comunica verbalmente, no deambula y es dependiente para todas las actividades de la vida diaria. Su mujer cuida de él en casa y no quiere ingresar en una residencia. Un estudio de la deglución indica que se atraganta con todo tipo de consistencias de los alimentos. El médico del hospital sugiere alimentación por sonda. La ""Voluntad Vital Anticipada"" del paciente establece que su mujer es la representante que debe tomar las decisiones respecto a su atención médica y que él no quiere medidas extraordinarias para prolongar su vida incluyendo la nutrición artificial. ¿Cuál de las siguientes es la recomendación más apropiada para este paciente?:","Quizás sea esta la menos científica de las preguntas MIR de este año, por cuanto su respuesta se basa en la interpretación de una ley, que además tiene carácter autonómico. Probablemente en el espíritu del examinador se quiera reflejar esta ley, en un caso repito extremo. Veamos, partiendo del artículo 11 de la Ley 41 /2002, de 14 de noviembre (1), básica reguladora de la autonomía del paciente y de derechos y obligaciones en materia de información y documentación clínica. (B.O.E. Nº 274, de 15 de noviembre) de carácter nacional, en Castilla-La Mancha se legisla la  Ley 6/2005, de 7 de julio (2), de Castilla-La Mancha, sobre la Declaración de Voluntades Anticipadas en materia de la propia salud. (D.O.C.M. Nº 141, de 15 de julio) y el Decreto 15/2006, de 21 de febrero (3), del Registro de Voluntades Anticipadas de Castilla-La Mancha. (D.O.C.M. Nº 42, de 24 de febrero). En el resumen que publica la JCCM (4) dice textualmente: ""La declaración de voluntades anticipadas (también conocida como documento de instrucciones previas o testamento vital) es la manifestación escrita de una persona capaz que, actuando libremente, expresa las instrucciones que deben tenerse en cuenta acerca de la asistencia sanitaria que desea recibir en situacio­nes que le impidan comunicar personalmente su voluntad, o sobre el destino de su cuerpo o sus órganos una vez producido el fallecimiento. En nuestra declaración de voluntades anticipadas podemos hacer referencia a: 1. La expresión de los valores personales, a fin de ayudar en su día a la interpretación del propio documento y orientar a los médicos en el momento de tomar decisiones clínicas. 2. Las instrucciones sobre los cuidados y tratamientos relacionados con nuestra salud que deseemos o no recibir. 3. Podemos nombrar un representante que actuará como interlocutor ante el médico responsable o el equipo sanitario para que se cumplan las instrucciones contenidas en la declaración. 4. También podemos incluir nuestra decisión respecto a la donación de órganos. En estos casos no se requerirá la autorización de la familia para la extracción o utilización de los órganos donados"". Parece pues claro que la respuesta que se pretende es la 5.",(1) http://pagina.jccm.es/sanidad/ley41.pdf ; (2) http://www.jccm.es/sanidad/legislacion_sanitaria/visualiza.php?name=329 ; (3) http://www.jccm.es/sanidad/legislacion_sanitaria/visualiza.php?name=366 ; (4) http://pagina.jccm.es/sanidad/diptico.pdf,CUIDADOS PALIATIVOS,,,,Colocar una SNG permanente y dar el alta a una residencia con cuidados especializados.,Colocar una SNG a medio plazo y dar el alta a una residencia con cuidados especializados hasta que se curen las escaras.,Dar el alta a una residencia con cuidados especializados hasta que se curen las úlceras por presión.,Poner una sonda por gastrostomía y dar el alta a domicilio.,Dar el alta a domicilio con cuidados paliativos del área sanitaria.,5,,
2011,131,,,,"Hombre de 62 años con antecedentes de hábito enólico importante, portador de virus de hepatitis C, sigue tratamiento con Ibuprofeno por una tendinitis en hombro derecho, acude a su dermatólogo porque despues de pasar dos semanas de vacaciones en la playa observa la aparición de ampollas tensas en dorso de manos. A la exploración ademas de localización y ligera hipertricosis malar.  El diagnóstico más probable es:","Porfiria Cutánea Tarda: el 60% de los pacientes con PCT, son varones, muchos de ellos ingieren alcohol en exceso, las mujeres que la desarrollan suelen estar en tratamiento con fármacos que contienen Estrógenos. La mayoria son varones con indicios de sobrecarga de hierro, esta sobrecarga reduce la actividad del enzima uroporfirinógeno descarboxilasa, que lleva a la elevación de uroporfirinas. Se han implicado en la precipitación de la PCT adquirida las infecciones por VHC y VIH. Existe una forma hereditaria con patrón AD. Los pacientes con PCT, presentan ampollas en piel fotoexpuesta, más frecuente en dorso de manos y cuero cabelludo. Además de la fragilidad, pueden desarrollar hipertricosis, hiperpigmentación, alopecia cicatricial e induración esclerodérmica.",,DERMATOLOGÍA,,,,Epidermolisis ampollosa adquirida.,Porfiria cutánea tarda.,Reacción fototóxica.,Dermatitis de contácto.,Porfiria aguda intermitente.,2,,
2011,137,,,,Una paciente de 14 años de edad en buen estado general presenta desde hace 4 dias una erupción cutánea generalizada muy pruriginosa formada por placas eritemato-edematosas de entre 2 y 15 cm de diámetro sin descamación con tendencia a adquirir una morfología anular que individualmente desaparecen en menos de 24 horas. Las mucosas están respetadas. Su primera impresión diagnóstica sería:,"Urticaria Aguda: se caracteriza por lesiones eritemato-edematosas, evanescentes pruriginosas, que duran menos de 24 horas, sin descamación. El estado general suele estar conservado. En los niños es más frecuente el patrón anular. Tanto en la rubeola como en la toxicodermia, el estado general no esta conservado. El Shock Estafilocócico, presenta afectación del estado general y además las lesiones son ampollosas. Las lesiones de la Escabiosis son interdigitales preferentemente, en forma de papulocostras que pueden seguir trayectos lineales.",,DERMATOLOGÍA,,,,Urticaria.,Rubeola.,Toxicodermia.,Shock tóxico estafilocócico.,Escabiosis.,1,,
2011,138,,,,"Si un paciente refiere tener desde hace meses aumento del tamaño de la lengua, sin otras alteraciones de la misma provocando que se muerda constantemente, en qué enfermedad pensaría de las siguientes:","Pregunta compartida con ORL. La Amiloidosis es un depósito localizado o sistémico de proteínas fibrilares. Puede ser primaria o secundaria. Los órganos más frecuentemente afectados, son los riñones y el corazón. En ocasiones aparecen depósitos de amiloide en la lengua que pueden producir macroglosia.",,DERMATOLOGÍA,,,,Parálisis del hipogloso.,Hipertiroidismo.,Mastocitosis.,Amiloidosis.,Granuloma facial.,4,,
2011,109,,,,"Una mujer de 32 años ha viajado a Cuba de donde ha llegado hace tres días. Al día siguiente de su regreso acude a su médico de cabecera por fiebre elevada, artromialgias intensas y cefalea que le había comenzado antes de iniciar el viaje de regreso y le prescribe paracetamol. Tres días más tarde y sin haber experimentado mejoría presenta por la mañana un exantema maculo-papuloso pruriginoso generalizado que es más intenso en miembros inferiores en donde evoluciona a la formación de petequias por lo que acude a Urgencias. En las EC no se aprecian datos relevantes excepto las plaquetas 75000/mm3 (htco 36%, leucocitos 4100 79% neutrófilos). ¿Cuál es el diagnóstico más probable?","En este caso creo que la respuesta correcta es la 5. La 1 no debe ser ya que aunque la clínica es sugestiva, no presenta linfocitosis. Tampoco parece un exantema alérgico por la clínica. Y desde luego no reúne síntomas ni signos clínicos compatibles con malaria o fiebre tifoidea. Lo que orienta al dengue, además de la clínica es la plaquetopenia.",,INFECCIOSAS,,,,Mononuclesis infecciosa.,Exantema alérgico.,Malaria por P. falciparum.,Fiebre tifoidea.,Dengue.,5,,
2011,110,,,,"Paciente de 40 años de edad, fumador desde los 18 años y sin antecedentes de interés. Consulta por cuadro de 24 horas de evolución de escalofríos, fiebre termometrada de 39ºC y tos con expectoración. La Rx de tórax pone de manifiesto un aumento de densidad con patrón alveolar en el LSD y el paciente es diagnosticado de NAC. ¿Cuál es el agente etiológico más frecuente y por tanto de obligada cobertura al elegir el tratamiento atb empírico?","Esta es una pregunta de epidemiología bastante fácil, en adultos sin otros datos, Neumococo es el 1º.",,INFECCIOSAS,,,,Mycoplasma pneumoniae.,Chlamydia pneumoniae.,Streptococcus pneumoniae.,Legionella pneumophila serogrupo 1.,Haemophilus influenzae.,3,,
2011,111,,,,"Un hombre de 32 años, ADVP y que ha salido recientemente de la cárcel, tiene una prueba cutánea con derivado proteico (PPD) con 10 mm de induración. Hace un año, el PPD era negativo, actualmente está asintomático, la serología para VIH es negativa y su Rx Tórax es normal. ¿Qué actitud entre las siguientes le parece más adecuada?","Ante una conversión en el PPD en un periodo de 2 años, y descartando la enfermedad tuberculosa actual, está indicada la quimioprofilaxis con INH, aunque yo creía que se hacía durante 6 meses y no 9. El resto no es cuestionable.",,INFECCIOSAS,,,,No realizar tto y control anual de Rx.,Cultivo de esputo para micobacterias y tratar sólo si son positivos.,Isoniazida durante 9 meses.,Tratamiento con 4 drogas 4 meses.,Tratamiento con RIF y PRZ durante 2 meses.,3,,
2011,112,,,,"Un paciente acude al Servicio de Urgencias con Fiebre sin foco de 24 h de evolución, hipoTA e impresión de gravedad. Sufrió una esplenectomía hace 2 años para estadificación de enfermedad de Hosgkin. ¿Qué microorganismo se implica con mayor frecuencia?","Otra de epidemiología. En pacientes esplenectomizados, el riesgo de adquisión de infecciones graves por gérmenes encapsulados, se encuentra aumentado, siendo nuevamente Neumococo el más frecuente.",,INFECCIOSAS,,,,Streptococcus pneumoniae.,Pseudomonas aeruginosa.,Salmonella no typhi.,Pneumocystis jirovecii.,Streptococcus viridans.,1,,
2011,113,,,,"Mujer de 71 años, con antecedentes de artritis reumatoide en tto con sulfasalazina, prednisona y etanercept. Acude a URG por clínica de 72 horas compatible con Herpes Zóster facial afectando a a hemicara derecha, pabellón auricular, respetando frente y quemosis conjuntival. ¿Cuál sería el tratamiento adecuado?","Creo que esta pregunta no está claramente en el temario de Infecciosas, y puede que se solape con OFT y DERMA, pero según tengo entendido, en una paciente inmunodeprimida y además con datos de afectación ocular, estaría indicado el ingreso para tratamiento intravenoso por el alto riesgo de complicaciones posibles.",,INFECCIOSAS,,,,Tto sintomático del dolor únicamente.,Tto tópico con aciclovir.,"Tto ambulatorio con aciclovir, valaciclovir o famciclovir oral.",Ingreso hospitalario y tto con aciclovir o famciclovir iv.,Ig parenteral y vacunación.,4,,
2011,115,,,,"Un hombre de 68 años es evaluado por presentar Fiebre, pérdida de peso y disnea de esfuerzo. La EF revela un nuevo soplo diastólico aórtico y estigmas de embolismos periféricos. La ecocardio muestra una vegetación de 1 cm en la válvula aórtica y en dos hemocultivos se aísla Streptococcus bovis sensible a penicilina. Tras iniciar tratamiento de endocarditis, ¿Cuál de las siguientes exploraciones nos podría ayuda en el diagnóstico?","Otro regalo de pregunta, la asociación de endocarditis por S.bovis y el cáncer de colon. Por cierto, es gracioso que den Rx Tórax como prueba a realizar... ¿me estás diciendo que a un paciente con fiebre y disnea le haces antes una ecocardio que una rx de tórax simple? Y por otro lado... ¿por qué los que escriben el MIR no hacen las preguntas más cortas sin tanta vuelta? Si lo que quieren es preguntar la prueba a realizar a un paciente con endocarditis por S.bovis, pues podrían lanzar la pregunta directamente sin contarnos hasta los lunares del paciente...",,INFECCIOSAS,,,,Prueba de tolerancia a la glucosa.,Rx Tórax.,Endoscopia digestiva alta.,Colonoscopia.,Ecografía abdominal.,4,,
2011,116,,,,Una mujer de 40 años ingresa en el Servicio de Urgencias con fiebre de 38ºC y dolor lumbar derecho. En la analítica destacan 25000 leucocitos/mm3 con desviación izquierda y en la eco abd se evidencia una litiasis coraliforme. ¿Qué microorganismo esperamos encontrar?,"Pregunta de epidemiología compartida con URO. Las litiasis coraliformes se asocian a gérmenes  desdobladores de la urea: Proteus en 1º lugar, Pseudomonas, Klebsiella y algunos estafilococos.",,INFECCIOSAS,,,,Escherichia coli.,Enterococcus faecalis.,Salmonella typhi.,Candida albicans.,Proteus mirabilis.,5,,
2011,117,,,,Un paciente inmunodeficiente que presenta en la radiografía de tórax/TC una neumonía con el signo del halo menisco o contorno semilunar sugiere infección por:,"El Signo del halo es característico de la aspergilosis pulmonar, y más en un paciente inmuodeprimido. Pero no es patognomónico, también se ha asociado a TBC, algunas neoplasias y la granulomatosis de Wegener.",,INFECCIOSAS,,,,Staphylococcus aureus.,Streptococcus pneumoniae.,Candida albicans.,Pseudomonas aeruginosa.,Aspergillus fumigatus.,5,,
2011,203,,,,Un paciente de 52 años ingresa en el Hospital por neumonía grave. Con tratamiento antibiótico adecuado mejora del cuadro respiratorio. Tras 4 días de estancia en planta se complica su evolución por la aparición de un proceso diarreico grave. ¿Cuál sería el microorganismo más frecuentemente responsable de este cuadro?,"En este caso y, dado el tratamiento antibiótico instaurado así como la gravedad de la diarrea, parece que estemos ante una infección por Clostridium. La opción 2 es poco creíble, la verdad, por mucho que los pacientes con NAC puedan asociar diarrea, es poco probable que una bacteria sea sensible a un antibiótico al inicio de cuadro y deje de serlo a los 3 días.",,INFECCIOSAS,,,,Salmonella entérica.,La propia bacteria causante de la neumonía que se ha hecho resistente al antibiótico.,Campylobacter jejuni.,Clostridium difficile.,Yersinia enterocolítica.,4,,
2011,58,,,,"Un hombre de 30 años asno se realiza una radiografía de tórax para formalizar un contrato laboral en una empresa. En la radiografía se observa un patrón intersticial bilateral de tipo reticular, adenopatías hiliares bilaterales y mediastínicas. Se indica una broncofibroscopia con lavado broncoalveolar que en el recuento celular muestra los siguientes resultados: linfocitos 50 %, histiocitos 40%, eosinófilos 2%, polimorfonucleares 8% y el cociente CD4/Cd8 5 ¿Cuál es el diagnóstico más probable?",Está describiendo una sarcoidosis.,,NEUROLOGÍA Y CIRUGÍA TORÁCICA,,,,Alveolitis alérgica extrínseca.,Neumoconiosis.,Sarcoidosis.,Linfangitis carcinomatosa.,Hemosiderosis pulmonar idiopática.,3,,
