erantzunZbkia,gaixotasunCodes,sintomak
30,C0264490 # C0037315 ,- # continuous positive airway pressure 
31,C0038525 # C0085437 ,"nimodipine, tranexamic acid # ampicillin, cefotaxime, ceftazidime, ceftriaxone, nafcillin, oxacillin "
32,C0494491 # C0151295 # C1335437 ,- # - # - 
33,,
34,,
35,C0000833 ,"cefotetan, cefoxitin, metronidazole "
36,,
37,C0025064 ,- 
38,,
39,,
40,C0018802 # C0030590 ,"(RS)-metoprolol, (S)-(−)-timolol, (±)-carvedilol, Hydrochlorothiazide / Lisinopril, LCZ696, amiloride, atenolol, benazepril, bendroflumethiazide, benzthiazide, bisoprolol, bumetanide, candesartan, captopril, chlorothiazide, chlorthalidone, cilazapril, cyclothiazide, dabigatran etexilate, deslanoside, digitoxin, digoxin, enalapril, eprosartan, esmolol, ethacrynate sodium, ethacrynic acid, fenoldopam, fosinopril, furosemide, hydralazine, hydrochlorothiazide, hydrochlorothiazide / spironolactone, hydroflumethiazide, inamrinone, indapamide, isosorbide, ivabradine, labetalol, lisinopril, losartan, methyclothiazide, metolazone, milrinone, moexipril, nadolol, nesiritide, nitroglycerin, olmesartan, perindopril, polythiazide, propranolol, quinapril, quinethazone, ramipril, rivaroxaban, somatrem, spironolactone, telmisartan, tolvaptan, torasemide, trandolapril, trichlormethiazide, ubidecarenone, valsartan # - "
41,C0012634 ,- 
42,,
43,,
44,C0023234 # C0398623 ,- # rivaroxaban 
45,,
46,,
47,,
48,,
49,C0011860 # C0011880 # C0011854 # C0011880 ,"ACE inhibitor, healthy diet, metformin, physical activity, statin # - # Insulatard, Insulin Lispro, albiglutide, canagliflozin hemihydrate, dapagliflozin, dulaglutide, empagliflozin, exenatide, insulin aspart, insulin detemir, insulin glargine, insulin glulisine, liraglutide, methyldopa, pramlintide, sitagliptin # - "
50,C0041408 # C0032617 # C0271561 ,- # amiloride # - 
51,,
52,C0007758 # C0024408 # C0024408 # C0007758 # C0024408 ,- # - # - # - # - 
53,,
54,C0006285 ,- 
55,,
56,,
57,,
58,C0017919 # C0011849 # C0023890 ,"alglucosidase alfa # Insulin Lispro, chromium picolinate, voglibose # Peginterferon alfa-2b, adefovir, boceprevir, bumetanide, daclatasvir, entecavir hydrate, ethacrynate sodium, ethacrynic acid, furosemide, ledipasvir/sofosbuvir, obeticholic acid, peginterferon alfa-2a, ribavirin, rifaximin, simeprevir, sofosbuvir, tolvaptan, torasemide "
59,,
60,,
61,C0752347 ,"donepezil, pimavanserin, rivastigmine "
62,,
63,C0151744 # C0007193 # C0003507 # C0031048 # C0007177 # C0031039 ,"Colesevelam, Colestipol, Colestyramine, Evolocumab, atorvastatin, cerivastatin, chromonar, clofibrate, dextrothyroxine, eptifibatide, fenofibrate, fluvastatin, gemfibrozil, isosorbide, lovastatin, perindopril, pravastatin, probucol, simvastatin, sulfinpyrazone, tirofiban # inamrinone # - # - # - # - "
64,,
65,,
66,C1145670 ,- 
67,C0949083 # C0018801 # C0024225 ,"- # (RS)-metoprolol, (S)-(−)-timolol, (±)-carvedilol, Hydrochlorothiazide / Lisinopril, LCZ696, amiloride, atenolol, benazepril, bendroflumethiazide, benzthiazide, bisoprolol, bumetanide, candesartan, captopril, chlorothiazide, chlorthalidone, cilazapril, cyclothiazide, dabigatran etexilate, deslanoside, digitoxin, digoxin, enalapril, eprosartan, esmolol, ethacrynate sodium, ethacrynic acid, fenoldopam, fosinopril, furosemide, hydralazine, hydrochlorothiazide, hydrochlorothiazide / spironolactone, hydroflumethiazide, inamrinone, indapamide, isosorbide, ivabradine, labetalol, lisinopril, losartan, methyclothiazide, metolazone, milrinone, moexipril, nadolol, nesiritide, nitroglycerin, olmesartan, perindopril, polythiazide, propranolol, quinapril, quinethazone, ramipril, rivaroxaban, somatrem, spironolactone, telmisartan, tolvaptan, torasemide, trandolapril, trichlormethiazide, ubidecarenone, valsartan # - "
68,C0018801 # C0035078 ,"(RS)-metoprolol, (S)-(−)-timolol, (±)-carvedilol, Hydrochlorothiazide / Lisinopril, LCZ696, amiloride, atenolol, benazepril, bendroflumethiazide, benzthiazide, bisoprolol, bumetanide, candesartan, captopril, chlorothiazide, chlorthalidone, cilazapril, cyclothiazide, dabigatran etexilate, deslanoside, digitoxin, digoxin, enalapril, eprosartan, esmolol, ethacrynate sodium, ethacrynic acid, fenoldopam, fosinopril, furosemide, hydralazine, hydrochlorothiazide, hydrochlorothiazide / spironolactone, hydroflumethiazide, inamrinone, indapamide, isosorbide, ivabradine, labetalol, lisinopril, losartan, methyclothiazide, metolazone, milrinone, moexipril, nadolol, nesiritide, nitroglycerin, olmesartan, perindopril, polythiazide, propranolol, quinapril, quinethazone, ramipril, rivaroxaban, somatrem, spironolactone, telmisartan, tolvaptan, torasemide, trandolapril, trichlormethiazide, ubidecarenone, valsartan # alpha-Ketoglutaric acid, paricalcitol "
69,C0012634 ,- 
70,C0002871 ,"(RS)-lenalidomide, Ferumoxides, deferasirox, eltrombopag, epoetin alfa, ferric carboxymaltose, iron sucrose, methoxy polyethylene glycol-epoetin beta, nandrolone, oxymetholone, sodium ascorbate, sodium ferric gluconate complex "
71,C0003864 # C0011603 ,"(S)-duloxetine, Abatacept, Certolizumab pegol, Etanercept, Ustekinumab, adalimumab, alpha-linolenic acid, apremilast, buprenorphine, celecoxib, diclofenac, gabapentin, golimumab, hydroxychloroquine, infliximab, leflunomide, meclofenamic acid, meloxicam, methotrexate, methylprednisolone, prednisone, pregabalin, rituximab, salsalate, sulfasalazine, tocilizumab, tofacitinib # DL-lactic acid, DL-methionine, alclometasone, amcinonide, betamethasone, clobetasol, crisaborole, doxycycline, glycerol, heliomycin, orthoboric acid, thiostrepton, zinc oxide "
72,,
73,,
74,,
75,,
76,,
77,C0003507 # C0003504 # C0007194 ,- # - # - 
78,C0151517 # C0003507 # C0007194 # C0007193 ,- # - # - # inamrinone 
79,,
80,,
81,,
82,,
83,,
84,C0085106 # C0030805 # C0162566 # C0030809 # C0038165 ,"- # methotrexate, mycophenolate mofetil, prednisolone, prednisone, rituximab, sulfapyridine # hydroxychloroquine # - # - "
85,C0040262 # C0033860 # C0023646 ,"(RS)-econazole, Ketoconazole, butenafine, ciclopirox, flutrimazole, imidurea, oxiconazole, selenium disulfide, sulconazole, terbinafine, tolnaftate # apremilast, calcipotriene, desonide, desoximetasone, ethyl fumarate, methotrexate, non-steroidal anti-inflammatory drug, tacalcitol, tazarotene # tacrolimus "
86,,
87,C0032002 ,- 
88,C0020626 # C0029442 ,"ergocalciferol, ergosterol # denosumab "
89,,
90,C0019247 # C0012634 # C0019247 # C0010054 # C0012634 # C0012634 ,"- # - # - # Colesevelam, Colestipol, Colestyramine, Evolocumab, atorvastatin, cerivastatin, chromonar, clofibrate, dextrothyroxine, eptifibatide, fenofibrate, fluvastatin, gemfibrozil, isosorbide, lovastatin, perindopril, pravastatin, probucol, simvastatin, sulfinpyrazone, tirofiban # - # - "
91,,
92,C0043194 # C3887645 # C0859960 # C1279481 ,- # - # - # - 
93,C0678236 ,- 
94,C0012634 # C0012634 # C0012634 # C0012634 ,- # - # - # - 
95,,
96,C0019342 ,"aciclovir, famciclovir, foscarnet, valacyclovir "
97,C0020514 ,"bromocriptine, cabergoline "
98,,
99,C0002871 # C0016412 # C0002871 # C0002871 ,"(RS)-lenalidomide, Ferumoxides, deferasirox, eltrombopag, epoetin alfa, ferric carboxymaltose, iron sucrose, methoxy polyethylene glycol-epoetin beta, nandrolone, oxymetholone, sodium ascorbate, sodium ferric gluconate complex # folic acid # (RS)-lenalidomide, Ferumoxides, deferasirox, eltrombopag, epoetin alfa, ferric carboxymaltose, iron sucrose, methoxy polyethylene glycol-epoetin beta, nandrolone, oxymetholone, sodium ascorbate, sodium ferric gluconate complex # (RS)-lenalidomide, Ferumoxides, deferasirox, eltrombopag, epoetin alfa, ferric carboxymaltose, iron sucrose, methoxy polyethylene glycol-epoetin beta, nandrolone, oxymetholone, sodium ascorbate, sodium ferric gluconate complex "
100,,
101,C0037889 # C0002880 # C0035243 # C0002892 ,"- # (RS)-cyclophosphamide, prednisolone, rituximab # - # cyanocobalamin, hydroxocobalamin "
102,C1861172 # C0398623 ,- # rivaroxaban 
103,,
104,,
105,C0021345 # C0586989 # C0040558 # C0024198 # C1512508 ,"- # aciclovir # chloroquine, clindamycin, pyrimethamine, spiramycin, sulfadiazine, trimethoprim/sulfamethoxazole # amoxicillin, azithromycin, ceftriaxone, cefuroxime, doxycycline # ganciclovir, rituximab "
106,,
107,,
108,,
109,,
110,,
111,,
112,C0011303 # C0026769 ,"- # (RS)-baclofen, (RS)-cyclophosphamide, Natalizumab, alemtuzumab, apremilast, armodafinil, azathioprine, betamethasone, cladribine, corticotropin, cyanocobalamin, daclizumab, dalfampridine, dantrolene, dimethyl fumarate, fingolimod, gabapentin, hydroxocobalamin, interferon beta-1a, interferon beta-1b, methylprednisolone, mitoxantrone, modafinil, monomethyl fumarate, pregabalin, rituximab, teriflunomide "
113,C0149931 # C0042373 # C1956391 ,"(S)-duloxetine, almotriptan, amitriptyline, botulinum toxin type A, buprenorphine, butorphanol, clonixin, diclofenac, dihydroergotamine, eletriptan, ergotamine, fentanyl, gabapentin, ibuprofen, ketorolac, lamotrigine, naproxen, naratriptan, paracetamol, pregabalin, propranolol, rizatriptan, sumatriptan, topiramate, triptan, venlafaxine, zolmitriptan, zonisamide # - # methotrexate, prednisolone, prednisone, sumatriptan, tocilizumab "
114,C0011263 # C0002395 # C0752347 # C0338451 # C0020258 ,"donepezil, memantine, vinpocetine # aripiprazole, donepezil, galantamine, memantine, pyritinol, quetiapine, risperidone, rivastigmine # donepezil, pimavanserin, rivastigmine # - # - "
115,C0014544 # C0014544 # C0012634 # C0270853 ,"(S)-etiracetam, acetazolamide, brivaracetam, carbamazepin, clobazam, clonazepam, diazepam, ethosuximide, ethotoin, ezogabine, felbamate, fosphenytoin, gabapentin, lacosamide, lamotrigine, mephobarbital, methsuximide, oxcarbazepine, perampanel, pheneturide, phenobarbital, phenytoin, pregabalin, primidone, topiramate, vigabatrin, zonisamide # (S)-etiracetam, acetazolamide, brivaracetam, carbamazepin, clobazam, clonazepam, diazepam, ethosuximide, ethotoin, ezogabine, felbamate, fosphenytoin, gabapentin, lacosamide, lamotrigine, mephobarbital, methsuximide, oxcarbazepine, perampanel, pheneturide, phenobarbital, phenytoin, pregabalin, primidone, topiramate, vigabatrin, zonisamide # - # - "
116,,
117,,
118,C0024441 # C0154841 # C0242383 # C0730328 ,- # - # - # - 
119,,
120,C0012634 # C0023890 ,"- # Peginterferon alfa-2b, adefovir, boceprevir, bumetanide, daclatasvir, entecavir hydrate, ethacrynate sodium, ethacrynic acid, furosemide, ledipasvir/sofosbuvir, obeticholic acid, peginterferon alfa-2a, ribavirin, rifaximin, simeprevir, sofosbuvir, tolvaptan, torasemide "
121,,
122,,
123,C0008373 # C0024904 ,"ciprofloxacin, levofloxacin # - "
124,C0000833 ,"cefotetan, cefoxitin, metronidazole "
125,C0948187 ,- 
126,C0034067 # C0221757 # C0010674 # C0241910 # C0017924 # C0017925 # C0019202 ,"Oxtriphylline, acefylline, acetylcysteine, aminophylline, dyphylline, theophylline # - # Dornase alfa, acetylcysteine, amiloride, aztreonam, ivacaftor, sodium phenylbutyrate, tobramycin # azathioprine, mycophenolate mofetil, prednisolone, tacrolimus # - # - # D-penicillamine, triethylenetetramine "
127,C0025297 # C0085437 # C0041318 # C0018378 ,"- # ampicillin, cefotaxime, ceftazidime, ceftriaxone, nafcillin, oxacillin # rifampicin # - "
128,C0020676 # C0878544 # C0007570 # C0242343 ,"L-thyroxine, liothyronine, thyroglobulin # LCZ696, ivabradine # - # - "
129,C0009806 # C0019569 ,"D-sorbitol, bisacodyl, cisapride, docusate, glycerol, linaclotide, lubiprostone, magnesium hydroxide, methylnaltrexone, naloxegol, plecanatide, polycarbophil calcium, polyethylene glycol, sennoside A, tegaserod, β-lactulose # - "
130,C0026691 # C0036285 # C0021345 # C0025007 ,"aspirin, infliximab # cephalosporin antibiotic, clindamycin, histamine antagonist, macrolides, penicillin, vancomycin # - # - "
131,,
132,,
133,C0012634 ,- 
134,,
135,,
136,,
137,,
138,,
139,,
140,C0004943 # C0039082 # C0085435 # C0085077 # C0042842 # C0018081 ,"(S)-(−)-colchicine, Etanercept, adalimumab, apremilast, cyclosporine, infliximab, thalidomide # - # adalimumab, etanercept # - # - # DL-ofloxacin, Trovafloxacin, amoxicillin, ampicillin, bacampicillin, cefixime, cefotaxime, cefpodoxime, cefpodoxime proxetil, ceftizoxime, ceftriaxone, cefuroxime, ciprofloxacin, demeclocycline, enoxacin, erythromycin, gatifloxacin, moxifloxacin, norfloxacin, penicillin G, penicillin g potassium, penicillin g sodium, probenecid, spectinomycin, tetracycline, troleandomycin "
141,,
142,C3495559 # C0149887 ,- # - 
143,C1565489 # C0020625 # C0032827 ,"alpha-Ketoglutaric acid, paricalcitol # - # - "
144,,
145,C0027721 # C0017665 # C0011881 ,"mycophenolate mofetil # cyclosporine, mycophenolate mofetil, prednisolone, rituximab # gabapentin, pregabalin "
146,C0020437 # C0020598 # C0020488 ,"denosumab, edetic acid, etidronic acid, gallium nitrate, pamidronic acid, plicamycin, prednisone, zoledronic acid, zoledronic acid monohydrate # - # - "
147,C0017665 # C0017661 # C0017661 # C0221239 # C0027721 ,"cyclosporine, mycophenolate mofetil, prednisolone, rituximab # mycophenolate mofetil # mycophenolate mofetil # - # mycophenolate mofetil "
148,,
149,C0040961 # C0003504 # C0003507 ,- # - # - 
150,,
151,,
152,C0375268 ,"amikacin, gentamicin "
153,,
154,C0001127 ,- 
155,,
156,,
157,,
158,C0014009 ,- 
159,C2939465 # C0016412 # C0340968 # C0037889 ,- # folic acid # - # - 
160,C0024796 # C0042974 # C0013720 # C0019069 # C0012634 ,"- # antihemophilic factor, desmopressin # - # antihemophilic factor # - "
161,C0398650 # C0002871 # C0272126 # C0040034 # C0398650 ,"(RS)-cyclophosphamide, Vinblastine, azathioprine # (RS)-lenalidomide, Ferumoxides, deferasirox, eltrombopag, epoetin alfa, ferric carboxymaltose, iron sucrose, methoxy polyethylene glycol-epoetin beta, nandrolone, oxymetholone, sodium ascorbate, sodium ferric gluconate complex # - # (21R)-argatroban, Lepirudin, Romiplostim, anagrelide, desmopressin, eltrombopag, rituximab, ruxolitinib # (RS)-cyclophosphamide, Vinblastine, azathioprine "
162,,
163,,
164,,
165,C0028756 ,- 
166,,
167,C0029456 # C0029401 # C0259779 # C0029442 ,"Teriparatide, denosumab, ibandronic acid, zoledronic acid monohydrate # - # - # denosumab "
168,C0011860 # C0029458 # C0085580 # C0271680 # C0221406 ,"ACE inhibitor, healthy diet, metformin, physical activity, statin # Teriparatide, denosumab, ibandronic acid, zoledronic acid monohydrate # antihypertensive drug # (RS)-citalopram, (RS)-mexiletine, capsaicin, cyanocobalamin, hydroxocobalamin, pentoxifylline # Pasireotide "
169,,
170,C0020676 # C0242339 # C0242339 # C0242339 ,"L-thyroxine, liothyronine, thyroglobulin # Colesevelam, fluvastatin, rosuvastatin # Colesevelam, fluvastatin, rosuvastatin # Colesevelam, fluvastatin, rosuvastatin "
171,,
172,,
173,,
174,,
175,C0023290 # C0041321 ,"amphotericin B, meglumine, miltefosine, paromomycin, pentamidine # isoniazid, rifampicin "
176,C0042109 ,"acrivastine, astemizole, azatadine, bromodiphenhydramine, cetirizine, chlorpheniramine, cimetidine, clemastine, cyproheptadine, cyproheptadine hydrochloride, desloratadine, famotidine, fexofenadine, levocetirizine, loratadine, methdilazine, montelukast, nizatidine, omalizumab, phenindamine, pheniramine, phenyltoloxamine, trimeprazine, tripelennamine "
177,,
178,C0338451 # C0002395 # C0011269 # C0752347 # C0022336 ,"- # aripiprazole, donepezil, galantamine, memantine, pyritinol, quetiapine, risperidone, rivastigmine # donepezil, memantine, vinpocetine # donepezil, pimavanserin, rivastigmine # - "
179,C0020179 # C0019202 # C0040517 # C0152113 # C0752105 ,"(RS)-baclofen, perphenazine, pimozide, tetrabenazine, ubidecarenone # D-penicillamine, triethylenetetramine # aripiprazole, clonidine, haloperidol, mecamylamine, pergolide, perphenazine, pimozide, risperidone, tetrabenazine, ziprasidone # - # - "
180,,
181,,
182,,
183,C0021843 # C0021843 ,- # - 
184,C0007947 # C0149985 # C0004690 # C0040921 # C0011630 # C0026946 ,"azithromycin, ceftriaxone, ciprofloxacin, erythromycin, gentamicin, kanamycin (extract), streptomycin # - # - # carnidazole, secnidazole, tenonitrozole # Ketoconazole, amorolfine, clotrimazole, griseofulvin, itraconazole, miconazole, sulconazole, terbinafine # 5-fluorocytosine, Ketoconazole, amphotericin B, chlorhexidine, clotrimazole, fluconazole, itraconazole, natamycin, terbinafine "
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,C0003864 # C0085435 # C0003869 # C0003869 # C0003873 ,"(S)-duloxetine, Abatacept, Certolizumab pegol, Etanercept, Ustekinumab, adalimumab, alpha-linolenic acid, apremilast, buprenorphine, celecoxib, diclofenac, gabapentin, golimumab, hydroxychloroquine, infliximab, leflunomide, meclofenamic acid, meloxicam, methotrexate, methylprednisolone, prednisone, pregabalin, rituximab, salsalate, sulfasalazine, tocilizumab, tofacitinib # adalimumab, etanercept # (2R)-daptomycin, vancomycin # (2R)-daptomycin, vancomycin # (+-)-flurbiprofen, (RS)-etodolac, (RS)-fenoprofen, D-penicillamine, Etanercept, adalimumab, anakinra, aspirin, auranofin, aurothioglucose, azathioprine, captopril, celecoxib, chloroquine, cyclosporine, diclofenac, diflunisal, enalapril, frentizole, gold, hydroxychloroquine, ibuprofen, indomethacin, ketoprofen, leflunomide, methotrexate, methylprednisolone, nabumetone, naproxen, oxaprozin, piroxicam, sulfasalazine, sulindac, thalidomide, tolmetin, valdecoxib "
194,C0027726 # C0002726 ,"(RS)-cyclophosphamide, bendroflumethiazide, benzthiazide, bumetanide, chlorothiazide, chlorthalidone, cyclosporine, cyclothiazide, ethacrynate sodium, ethacrynic acid, furosemide, hydrochlorothiazide, hydroflumethiazide, indapamide, methyclothiazide, methylprednisolone, metolazone, mycophenolate mofetil, polythiazide, prednisolone, prednisone, quinethazone, rituximab, tacrolimus, torasemide, trichlormethiazide # (RS)-lenalidomide, acetylcysteine, bortezomib, dexamethasone, ixazomib, melphalan, pomalidomide, thalidomide "
195,C0017661 # C0022660 # C0017665 ,"mycophenolate mofetil # - # cyclosporine, mycophenolate mofetil, prednisolone, rituximab "
196,C0018995 ,"deferasirox, deferiprone, deferoxamine "
197,C0035078 ,"alpha-Ketoglutaric acid, paricalcitol "
198,C0012634 ,- 
199,,
200,C0162534 ,- 
201,C0019159 # C0021400 # C0025289 # C0021400 # C0025289 # C0021400 # C0025289 # C0025289 # C0021400 ,"- # Baloxavir marboxil, oseltamivir, peramivir, zanamivir # 5-fluorocytosine, DL-ofloxacin, amikacin, ceftriaxone, flucloxacillin, minocycline # Baloxavir marboxil, oseltamivir, peramivir, zanamivir # 5-fluorocytosine, DL-ofloxacin, amikacin, ceftriaxone, flucloxacillin, minocycline # Baloxavir marboxil, oseltamivir, peramivir, zanamivir # 5-fluorocytosine, DL-ofloxacin, amikacin, ceftriaxone, flucloxacillin, minocycline # 5-fluorocytosine, DL-ofloxacin, amikacin, ceftriaxone, flucloxacillin, minocycline # Baloxavir marboxil, oseltamivir, peramivir, zanamivir "
202,C0002962 # C0002962 # C0010051 ,"(RS)-metoprolol, (S)-(−)-timolol, Bisoprolol, acebutolol, amlodipine, atenolol, bepridil, carvedilol, diltiazem, erythrityl tetranitrate, esmolol, felodipine, isosorbide, isradipine, labetalol, mibefradil, n-pentyl nitrite, nadolol, nicardipine, nifedipine, nisoldipine, papaverine, penbutolol, pentaerythritol tetranitrate, pharmaceutical preparation of nitroglycerin, pindolol, propranolol, sulfinpyrazone, ubidecarenone, verapamil # (RS)-metoprolol, (S)-(−)-timolol, Bisoprolol, acebutolol, amlodipine, atenolol, bepridil, carvedilol, diltiazem, erythrityl tetranitrate, esmolol, felodipine, isosorbide, isradipine, labetalol, mibefradil, n-pentyl nitrite, nadolol, nicardipine, nifedipine, nisoldipine, papaverine, penbutolol, pentaerythritol tetranitrate, pharmaceutical preparation of nitroglycerin, pindolol, propranolol, sulfinpyrazone, ubidecarenone, verapamil # - "
203,,
204,C0018790 ,"Calcium Gluceptate, atropine, calcium chloride, calcium gluconate, epinephrine, sodium bicarbonate "
205,C0264886 ,"Calcium Gluceptate, atropine, calcium chloride, calcium gluconate, epinephrine, sodium bicarbonate "
206,C0003507 ,- 
207,C0003507 # C0007193 # C0152171 # C0031048 ,- # inamrinone # - # - 
208,,
209,,
210,C0017551 # C0037889 ,- # - 
211,,
212,,
213,,
214,,
215,C0398650 # C0034155 # C0002874 # C0012739 ,"(RS)-cyclophosphamide, Vinblastine, azathioprine # rituximab # - # - "
216,C0034150 # C0752304 ,- # - 
217,,
218,C0042384 ,pentoxifylline 
219,C0002395 # C0752347 # C0338451 # C0011269 ,"aripiprazole, donepezil, galantamine, memantine, pyritinol, quetiapine, risperidone, rivastigmine # donepezil, pimavanserin, rivastigmine # - # donepezil, memantine, vinpocetine "
220,,
221,C0014013 ,- 
222,C0019693 # C0019693 ,"abacavir, aldesleukin, amprenavir, delavirdine, didanosine, dolutegravir, efavirenz, enfuvirtide, etravirine, indinavir, lamivudine, lopinavir, nelfinavir, nevirapine, raltegravir, ritonavir, saquinavir, stavudine, tenofovir, tenofovir disoproxil, tipranavir, zalcitabine, zidovudine # abacavir, aldesleukin, amprenavir, delavirdine, didanosine, dolutegravir, efavirenz, enfuvirtide, etravirine, indinavir, lamivudine, lopinavir, nelfinavir, nevirapine, raltegravir, ritonavir, saquinavir, stavudine, tenofovir, tenofovir disoproxil, tipranavir, zalcitabine, zidovudine "
223,C0684256 # C0684256 # C0021345 # C0021345 ,- # - # - # - 
224,,
225,,
226,C0153014 # C0011311 # C0008055 # C0014060 ,- # - # non-steroidal anti-inflammatory drug # - 
227,,
228,C0023290 # C0023890 # C0030312 # C0409974 ,"amphotericin B, meglumine, miltefosine, paromomycin, pentamidine # Peginterferon alfa-2b, adefovir, boceprevir, bumetanide, daclatasvir, entecavir hydrate, ethacrynate sodium, ethacrynic acid, furosemide, ledipasvir/sofosbuvir, obeticholic acid, peginterferon alfa-2a, ribavirin, rifaximin, simeprevir, sofosbuvir, tolvaptan, torasemide # - # - "
229,,
230,C0149520 # C0267917 # C0019187 # C0001339 ,- # - # - # - 
231,C0341106 # C0006840 # C0014868 ,"fluticasone # 5-fluorocytosine, Caspofungin, Ketoconazole, Nystatin, amphotericin B, fluconazole, itraconazole, micafungin, natamycin, voriconazole # denosumab, dexlansoprazole, esomeprazole, lansoprazole, omeprazole, pantoprazole, pantoprazole sodium, sucralfate "
232,,
233,C0220991 # C0701818 # C0022350 # C0017551 ,- # - # - # - 
234,,
235,C0023890 # C0008732 # C0041325 # C0031048 ,"Peginterferon alfa-2b, adefovir, boceprevir, bumetanide, daclatasvir, entecavir hydrate, ethacrynate sodium, ethacrynic acid, furosemide, ledipasvir/sofosbuvir, obeticholic acid, peginterferon alfa-2a, ribavirin, rifaximin, simeprevir, sofosbuvir, tolvaptan, torasemide # - # - # - "
236,,
237,,
238,,
239,,
240,C0032001 # C0029089 # C0242343 ,- # - # - 
241,,
242,,
243,C1145670 # C0001127 ,- # - 
244,,
245,,
246,C0456909 # C0264550 # C0023895 ,"- # - # Imiglucerase, alglucerase, bumetanide, ethacrynate sodium, ethacrynic acid, fenipentol, furosemide, rifaximin, torasemide "
247,C0014013 # C0018802 # C0034074 ,"- # (RS)-metoprolol, (S)-(−)-timolol, (±)-carvedilol, Hydrochlorothiazide / Lisinopril, LCZ696, amiloride, atenolol, benazepril, bendroflumethiazide, benzthiazide, bisoprolol, bumetanide, candesartan, captopril, chlorothiazide, chlorthalidone, cilazapril, cyclothiazide, dabigatran etexilate, deslanoside, digitoxin, digoxin, enalapril, eprosartan, esmolol, ethacrynate sodium, ethacrynic acid, fenoldopam, fosinopril, furosemide, hydralazine, hydrochlorothiazide, hydrochlorothiazide / spironolactone, hydroflumethiazide, inamrinone, indapamide, isosorbide, ivabradine, labetalol, lisinopril, losartan, methyclothiazide, metolazone, milrinone, moexipril, nadolol, nesiritide, nitroglycerin, olmesartan, perindopril, polythiazide, propranolol, quinapril, quinethazone, ramipril, rivaroxaban, somatrem, spironolactone, telmisartan, tolvaptan, torasemide, trandolapril, trichlormethiazide, ubidecarenone, valsartan # - "
248,,
249,C0009324 ,"Budesonide/formoterol, Certolizumab pegol, Etanercept, Ustekinumab, adalimumab, azathioprine, balsalazide, betamethasone, budesonide, cortisol, golimumab, infliximab, mercaptopurine hydrate, mesalazine, methotrexate, nicotine, olsalazine, prednisolone, prednisone, sulfasalazine, tacrolimus, tofacitinib, vedolizumab "
250,C0004763 # C0267081 # C0341106 ,- # - # fluticasone 
251,,
252,,
253,,
254,,
255,,
256,C0238067 ,- 
257,,
