kasuZbkia,gaixotasunak,gaixotasunUMLS,sintomak,sintomenUMLS,gaixSin,gaixSinUMLS
11,"nódulo (tiroides (derecho )),punción","C0028259,C0033119",,,,
12,"demencia (avanzada ),neumonía (aspirativa ),úlcera por presión","C0497327,C0032290#C1761609,C0011127","No se comunica,mujer","C0566002,C0043210#C0015780#C0086418",,
13,"hepatitis (C ),tendinitis (hombro (derecho )),ampollas (tensas dorso (de manos )),hipertricosis (ligera malar )","C0019196,C0039503,C0005758#C0344311#C1706498,C0020555","hábito (enólico importante ),portador","C0018464,C0560175",hábito (enólico importante ),C0018464 -
14,"erupción (cutánea generalizada muy (pruriginosa )Causado por: placas(eritemato-edematosas )),placas (eritemato-edematosas )","C0015230,C0332461",morfología,C0700329#C0332437,"placas (eritemato-edematosas ),descamación","C0332461 -,C0237849"
15,enfermedad,C0012634#C0039082,aumento del tamaño,C1268652,,
16,"exantema (maculo-papuloso pruriginoso generalizado ),petequias","C0015230,C0031256","mujer,fiebre (elevada ),cefalea","C0043210#C0015780#C0086418,C0015967,C0018681",artromialgias (intensas ),-
17,,,"fumador,escalofríos,fiebre,tos","C0337664,C0234192#C0085593#C0424790,C0015967,C0010200","expectoración,NAC","C0232515#C0038056,-"
18,induración,C0332534,,,"ADVP,VIH","-,C0458074#C0019682"
19,enfermedad (de Hosgkin ),C0012634#C0039082,Fiebre,C0015967,"hipoTA,enfermedad (de Hosgkin )","-,C0012634#C0039082 C0332285"
20,"artritis (reumatoide ),Herpes (Zóster facial ),quemosis (conjuntival )","C0003873,C0019360,C0271298",Mujer,C0043210#C0015780#C0086418,,
21,"vegetación,endocarditis","C1285498,C0014118","Fiebre,pérdida (de (peso )),disnea (de (esfuerzo )),soplo (diastólico aórtico ),estigmas","C0015967,C0043096#C1285591,C0231807,C0232262,C0277787","embolismos (periféricos ),Streptococcus (válvula (aórtica )bovis )","-,-"
22,"desviación,litiasis","C0185033#C0333051,C0023869","mujer,fiebre,dolor (lumbar (derecho ))","C0043210#C0015780#C0086418,C0015967,C0030193",,
23,"neumonía (tórax ),infección","C0032285#C3714636,C0009450",signo del halo,C0233205,,
24,neumonía (grave ),C0032285#C3714636,,,proceso (diarreico grave ),C1522240 -
25,,,,,adenopatías (hiliares bilaterales mediastínicas ),-
26,"masa (tórax ),lesión (lóbulo (inferior )),metástasis,lesión (imfiltratnte pirámide (basal derecha )),carcinoma (epidermoide )","C1306372#C0577559,C0332447#C1313971#C0221198,C2939419#C0013930,C0332447#C1313971#C0221198,C0007137","fumador,tos,masa (tórax ),hallazgo","C0337664,C0010200,C1306372#C0577559,C0243095","expectoración (hemoptóica ),adenopatías","C0232515#C0038056,-"
27,,,"disnea,tos,somnolencia","C0013404#C0553668,C0010200,C2830004","EPOC,expectoración (blanquecina )","-,C0232515#C0038056"
28,asma (bronquial ),C0004096#C0085129#C1319018#C1260881,"disnea,tos","C0013404#C0553668,C0010200",agudizaciones,-
29,epilepsia,C0014544,llanto,C0010399,,
30,"miastenia (gravis ),dificultad (leve para (tragar )),crisis (miasténica )","C0026896,C0011168,C0270942","dificultad (leve para (tragar )),ruido,ronquido (suave )","C0011168,C0006318,C0037384","diplopia (vespertina ),sudoroso,fatigado","-,-,-"
31,"disminución (brusca ),vómitos,masa (región (selar )),erosión (apófisis (clinoides anteriores ))","C0333668#C0547047,C0042963,C1306372#C0577559,C0333307","Mujer,cefalea (intensa ),masa (región (selar ))","C0043210#C0015780#C0086418,C0018681,C1306372#C0577559","nauseas,Hipotensa,oftalmoparesia (derecha Causado por: afectación(III (par craneal ))),afectación (III (par craneal ))","-,-,-,-"
32,,,"síntomas,debilidad (4/5 )","C1457887,C0424594#C0004093#C3714552",dificultad (para (andar )pierna (derecha )),C1299586#C0332218
33,"hipertensión (arterial ),artrosis","C0020538,C0029408","mujer,cansancio,debilidad,síntomas,mareo,incontinencia (urinaria ),temblor (moderado manos ),Gira,actuaciones","C0043210#C0015780#C0086418,C0015672#C0475255,C0424594#C0004093#C3714552,C1457887,C0012833#C0220870,C0042024#C0312413,C0040822#C1527384,C0541749,C0699820",,
34,edematoso,C0013604,"mujer,dolor (febrícula (dolor )hombros (cuello )caderas ),cefalea (moderada ),dolor (caderas )","C0043210#C0015780#C0086418,C0030193,C0018681,C0030193","pérdida (de (visión aguda )ojo (izquierdo )),febrícula (dolor (febrícula hombros (cuello )caderas )),pálido,alteraciones (arterias (temporales ))","-,-,C1971630#C0017651,-"
35,"cáncer (mama ) de,exposición (ósea hueso (mandibular )),infección (aguda ),exposición,zona,esclerosis (ósea )","C0006142#C0678222,C0274281,C0275518,C0274281,C0019360,C0221434","Mujer,signos","C0043210#C0015780#C0086418,C0311392",metástasis (columna (dorsal )articulación (sacroilíaca )),C0036525
36,"carcinoma (epidermoide ),tumor (primario )","C0007137,C0027651",fumador,C0337664,"bebedor (importante Causado por: adenopatía(yugulodigástrica (derecha ))),adenopatía (yugulodigástrica (derecha ))","-,-"
37,"tumefacción (submandibular bilateral ),trismus","C0038999,C0041105","fiebre,tumefacción (submandibular bilateral ),dolor (bucal )","C0015967,C0038999,C0030193",mal (estado (general )),C0205169
38,,,"sedimento urinario,conducta","C2945609#C1261248,C0004927",,
39,vómitos,C0042963,"Niño de,embarazo,nacimiento,exceso de base","C0680063,C0549206#C0032961#C0549169,C1148523#C0005615,C0201985#C1330956",visceromegalias,-
40,Síndrome (de Wolf-Parkinson-White ),C0012634#C0039082,"niño de,soplo (inocente )","C0680063,C0006318#C0018808",Síndrome (de Wolf-Parkinson-White ),C0012634#C0039082 C0332285 -
41,tuberculosis (pulmonar bacilífera ),C0041327,Niño de,C0680063,,
42,"zona (occipital derecha del cuero cabelludo ),alopecia,zona","C0019360,C0002170,C0019360","Niño de,tumoración (dolorosa zona (occipital derecha del cuero cabelludo ))","C0680063,C0577559",adenomegalias (región (cervical posterior derecha )),-
43,,,"niño de,gira,dolor (cervical )","C0680063,C0233591,C0030193",,
44,,,"Niño de,cojera (extremidad (inferior derecha )),signos","C0680063,C0311395#C1456822,C0311392",,
45,"tumor (tiroides ),feocromocitoma","C0027651,C0031511",,,,
46,,,recién nacido,C0021289#C2239178,hepatitis (B ),C0019169
47,,,"fallecimiento,accidente automovilístico,hermano mayor","C1306577,C1290896#C1367973,C0337546#C0337537","sintomatología (ansiosa ),humor (depresivo )","-,C0026516"
48,,,"síntomas,ansiedad","C1457887,C0003467",patología (orgánica ),C0030664
49,poliuria,C0032617,"polidipsia,poliuria,tos,respiración profunda,fiebre,cetonuria","C1994994#C0085602,C0032617,C0010200,C1328799#C0220854,C0015967,C0162275","deterioro (del (estado general )),náuseas,sensación (febril ),sequedad (mucosas )","C1279889,-,C0036658#C1455667 C0015967,-"
50,"disminución (del (crecimiento )),poliuria,desviaciones","C0333668#C0547047,C0032617,C0185033#C0333051","cefaleas,problemas (visuales ),polidipsia,poliuria,hemianopsia (parcial temporal (izquierda ))","C0018681,C0033213,C1994994#C0085602,C0032617,C0018979",menarquia,-
51,síndrome (de Cushing ACTH ),C0001622#C0010481,"mujer,obesa","C0043210#C0015780#C0086418,C0028754",síndrome (de Cushing ACTH ),C0001622#C0010481 -
52,,,"mujer,gestación,primípara,ataxia,portador","C0043210#C0015780#C0086418,C0549206#C0032961#C0549169,C0033150,C0004134,C0560175","mutación (expansiva ),DPN","-,-"
53,,,,,pérdida (brusca de (conciencia )),-
54,"turista,traumatismos","C0277528,C3263723","varón,disnea","C0086582,C0013404#C0553668",,
55,"fractura (cadera ),demencia (moderada )","C0435805#C0019557#C0015806,C0497327","mujer,presión venosa (yugular ) normal,ritmo sinusal","C0043210#C0015780#C0086418,C0520859,C0232201","HTA,DL,alteraciones (isquémicas )","-,C0439241,-"
56,"tenosinovitis (Causado por: herida(penetrante )),herida (penetrante ),necrosis (tendinosa )","C0039520,C0043254,C0027540",,,,
57,"cáncer (mama ) de,metástasis (agujeros (intervertebrales )5ª )","C0006142#C0678222,C2939419#C0013930",mujer,C0043210#C0015780#C0086418,,
58,"hepatomegalia (discreta ),degeneración (hialina de (Mallory )),fibrosis (vénulas (hepáticas terminales ))","C0019209,C0333438,C0016059","sobrepeso (moderado ),bebedor habitual","C0497406,C0556340","diabético,acúmulos (vacuolas (claras citoplásmicas hepatocitos )),vacuolas (claras citoplásmicas hepatocitos ),Focos (inflamatorios )","-,-,- C2963144#C1306462#C0522503,- C0333348"
59,litiasis (úrica ),C0023869,"varón,cólicos (nefríticos expulsivos de (repetición )),dolor (lumbar (derecho )intenso ),proteinuria","C0086582,C0423605#C0232488#C3665357,C0030193,C0033687","palpitaciones,leucocituria,FA","-,-,-"
60,cardiopatía (isquémica ),C0002962#C0151744,"dolor (torácico opresivo ),conducta","C1299600,C0004927",HTA,-
61,"enfermedad (de Alzheimer en (grado moderado )),depresión,artrosis","C0002395,C0011581#C1269683#C0025193#C0344315,C0029408","depresión,dolores (articulares ),tensión,confusión","C0011581#C1269683#C0025193#C0344315,C0030193,C0038435,C0009090",FA,-
62,drogadicción,C1510472,"mujer,somnolencia (profunda )","C0043210#C0015780#C0086418,C2830004",,
63,,,"dolor (torácico ),disnea,taquipnea,pulso paradójico","C0030193,C0013404#C0553668,C0231835,C0232118",cuadro (febril ),- C0015967
64,derivaciones,C1442858#C0542331,"paresia (Causado por: ictus()residual brazo (izquierdo )),dolor (precordial intenso ),piel fría","C0151786,C0232286,C1997526","exfumador,hipertenso,diabético,ictus,sudorosa,elevación (marcada del (segmento ST ))","-,-,-,-,-,C0439775"
65,"síncope,defecto (de (repleción )ambas (arterias pulmonares principales ))","C0039070#C0332521,C1457869#C0231172","síncope,disnea (de (esfuerzo )),Taquicardia (sensual ),defecto (de (repleción )ambas (arterias pulmonares principales ))","C0039070#C0332521,C0231807,C0039231,C1457869#C0231172",,
66,,,"mujer,insuficiencia (cardiaca congestiva ),disnea","C0043210#C0015780#C0086418,C0231179,C0013404#C0553668","diabetes (tipo (2 )),alteración (gasométrica )","-,-"
67,pancreatitis (aguda ),C0001339#C0341461,"taquipnea,taquicardia,sudoración,cianosis (progresiva )","C0231835,C0039231,C0038990,C0010520",infiltrados (pulmonares (alveolares )bilaterales ),-
68,"obesidad,disminución (progresiva ),deshidratación,leucocitosis","C0028754#C0451819#C1563743,C0333668#C0547047,C0011175,C0023518#C0750426","Mujer,fiebre,poliaquiuria,disuria,signos,leucocitosis","C0043210#C0015780#C0086418,C0015967,C0042023,C0013428,C0311392,C0023518#C0750426",diabetes (mellitas tipo (2 )),-
69,"enfermedad (de Crohn ),nódulos (subcutáneos violáceos )","C0010346,C0028259",dolor (abdominal ),C0000737,"afectación (Causado por: enfermedad(de Crohn )colónica ),dolorosos","-,-"
70,"hernia (pequeña hiatal ) por deslizamiento,esofagitis","C0376710,C0014868","mujer,astenia,disnea (de (esfuerzo )),pirosis (ocasional ),metrorragias,signos","C0043210#C0015780#C0086418,C0004093#C3714552,C0231807,C0018834,C0025874,C0311392","postmenopáusica,epigastralgia (ligera )","-,-"
71,,,diarrea,C0011991,patología (orgánica ),C0030664
72,"pigmentación (metálica piel ),hepatomegalia (mínima no (dolorosa ))","C0031911#C3665492,C0019209","fallecimiento,homocigoto","C1306577,C0019904","hipertransaminasemia,cirrosis (epatica ),virus (hepatotropos ),mutación (C282Y )","-,-,C0042776,-"
73,"miocardiopatía (dilatada idiopática ),fibrilación (auricular crónica )","C0878544,C0694539",disfunción (ventricular (izquierda )ligera ),C0277785,,
74,estenosis (segmentos (proximales )),C0009814#C1261287,dolor (precordial ),C0232286,deprimida (ventricular ),-
75,"miocardiopatía (dilatada idiopática ),bloqueo (rama (izquierda )) de,insuficiencia (mitral grado (II-III ))","C0878544,C0006384,C0026266",,,,
76,disfunción (sistólica ventrículo (izquierdo )) del,C1277187,"insuficiencia (cardiaca Causado por: disfunción(sistólica ventrículo (izquierdo ))),disnea (empeoramiento (Causado por: disnea())),insuficiencia (cardiaca )","C0231179,C0013404#C0553668,C0231179","hipertenso,dislipémico,empeoramiento (Causado por: disnea(empeoramiento )),crepitantes","-,-,-,-"
77,,,"soplo (mesosistólico foco (aórtico )borde (paraesternal izquierdo )),signos","C0232259,C0311392",crecimiento (ventricular (izquierdo )),-
78,síncope,C0039070#C0332521,"síncope,disnea (de (esfuerzo )),soplo (sistólico 3/6 )","C0039070#C0332521,C0231807,C0232257",,
79,"hipertensión (arterial ),fibrilación (auricular ),edema (piernas )","C0020538,C0004238,C0013604","mujer,insuficiencia (cardiaca ),disfunción (ventricular (izquierda )moderada ),cansancio,edema (piernas ),signos,síntomas","C0043210#C0015780#C0086418,C0231179,C0277785,C0015672#C0475255,C0013604,C0311392,C1457887",eventos (cardiovasculares ),C0441471 -
80,,,"dolor,fumador","C0030193,C0337664","dolor (pantorrilla (derecha )),hipertenso,enfermedad","C1719974,-,C0521117"
81,"cáncer (colon ángulo (hepático )),cáncer (colon )","C1306459#C0936282#C0006826,C1306459#C0936282#C0006826",mujer,C0043210#C0015780#C0086418,,
82,,,"Mujer,incontinencia (fecal )","C0043210#C0015780#C0086418,C0015732",,
83,"neoplasia (mama ) de,metástasis (óseas ),metástasis (cerebrales )","C1458155,C2939419#C0013930,C2939419#C0013930","dolores (óseos ),cefalea,analgesia,dolor","C0030193,C0018681,C0344307,C0030193",dolor,C1304888#C0002766
84,"lesiones (ampollosas dorso (de manos )),exposición,ampolla (subepidérmica vasos (dérmicos superficiales )),depósitos","C0332447#C1313971#C0221198,C0274281,C0005758#C0344311#C1706498,C0442627#C0333562",,,"fragilidad (cutánea ),ampolla (subepidérmica vasos (dérmicos superficiales ))","C0302113,C0005758#C0344311#C1706498 -"
85,"erupción (pruriginosa Causado por: pápulas(eritemato-violáceas poligonales cara (anterior de muñecas )zona (pretibial )área (lumbar ))),pápulas (eritemato-violáceas poligonales cara (anterior de muñecas )zona (pretibial )área (lumbar )),zona (pretibial ),lesiones (reticuladas blanquecinas mucosa (yugal ))","C0033771,C0332563,C0019360,C0332447#C1313971#C0221198",pápulas (eritemato-violáceas poligonales cara (anterior de muñecas )zona (pretibial )área (lumbar )),C0332563,,
86,enfermedad,C0012634#C0039082,,,,
87,"piel seca,anemia (Ligera )","C0263465#C0151908,C0002871#C0221395#C1510654","astenia (progresiva ),voz ronca,habla,somnolencia,hinchazón (manos cara ),piel seca,proteinuria","C0004093#C3714552,C0019825,C0600116#C0037817,C2830004,C0038999,C0263465#C0151908,C0033687","lentitud,pálida","-,C1971630#C0017651"
88,"poliuria,hipercalcemia,osteoporosis,adenoma (paratiroideo ),hipocalcemia (intensa ),tetania","C0032617,C0020437,C0029456,C0262587,C0020598,C0039621","mujer,fatiga,poliuria","C0043210#C0015780#C0086418,C0015672,C0032617","aumento (de (la PTH )),resorción (subperióstica )","C0442805,C0231570"
89,"edemas (maleolares ),lesiones (órganos (diana ))","C0013604,C0332447#C1313971#C0221198","edemas (maleolares ),disnea,Soplo (sistólico ),ruido","C0013604,C0013404#C0553668,C0232257,C0006318","HTA,mal (control arterial ),asimetría (discreta pedio tibial (posterior derechos ))","-,C0205169 C0026426,C0332514"
90,"infarto (miocardio ) de,enfermedad","C0027051,C0012634#C0039082",murió,C1546956,manchas (induradas blanquecinas codos rodillas ),-
91,síndrome (depresivo ),C0012634#C0039082,,,síndrome (depresivo ),C0012634#C0039082 -
92,"otitis (media aguda ),meningitis (meningocócica ),neumonías (lóbulo (superior izquierdo )),púrpura (trombopénica ),lesiones (Causado por: dermatitis(atópica )),dermatitis (atópica ),disminución,disminución (leve linfocitos )","C0271429,C0025294#C0007813#C1279475,C0032285#C3714636,C0439542#C0034150,C0332447#C1313971#C0221198,C0011615#C2242769,C0333668#C0547047,C0333668#C0547047","Niño de,púrpura (trombopénica ),varones","C0680063,C0439542#C0034150,C0086582","procesos (infecciosos ),elevación","C1522240 -,C0439775"
93,"neurofibromatosis (tipo (1 )NF1 ),enfermedad (de Von Recklinghausen ),neurofibromas,manchas (café ) con leche,nódulos (de Lisch ),manchas café con leche","C0162678#C1314735,C0012634#C0039082,C0027830,C0221263,C0028259,C0221263",,,"NF1,enfermedad (de Von Recklinghausen ),nódulos (de Lisch )","-,C0012634#C0039082 C0332285,C0028259 C0332285"
94,"distrofia (muscular de (Becker )),enfermedad","C0917713#C0013264,C0012634#C0039082",,,deleción (parcial ),-
95,mioma (uterino cara (anterior del útero )),C0027086,mujer,C0043210#C0015780#C0086418,,
96,"prurito (vulvar ),prurito","C0033778,C0036262#C0033774","menopausia,prurito,tumoración (pequeña labio (mayor iquierdo )vulva )","C0025320#C0567312,C0036262#C0033774,C0577559","pérdidas (serohemáticas ),disúria (ocasional )","-,-"
97,secreción (hemática ),C0012621,mujer,C0043210#C0015780#C0086418,nodularidad (pezón (derecho )),C0449579
98,"lesiones,atrófico (genitales (externos )cérvix )","C0332447#C1313971#C0221198,C0333641#C0037154","menopausia,gestaciones,sensibilidad","C0025320#C0567312,C0549206#C0032961#C0549169,C1264642#C0439823#C0312418","diabetis (tipo (2 )),metrorràgia (escassa intermitente ),endometrio (transvaginal )","-,-,C1269566#C0014180"
99,"anemia (microcítica ),trombocitosis (discreta )","C0085576,C0836924","Mujer,astenia,volumen,trombocitosis (discreta )","C0043210#C0015780#C0086418,C0004093#C3714552,C0449468#C0178733,C0836924",hipocroma,-
100,"petequias,anemia,trombopenia,leucopenia,neutropenia (absoluta ),hipofibrinogenemia,infiltración (médula (ósea )masiva )","C0031256,C0002871#C0221395#C1510654,C0040034,C0023530#C0750394,C0027947#C0001824#C1534864#C1576411#C0853697,C0553681,C0702249#C0332448","mujer,cansancio,leucopenia,neutropenia (absoluta )","C0043210#C0015780#C0086418,C0015672#C0475255,C0023530#C0750394,C0027947#C0001824#C1534864#C1576411#C0853697","gingivorragia,alargamiento","-,C0441592"
101,"parálisis (cerebral del (parto )),anisocitosis (macrocítica Causado por: policromatofilia(Causado por: anisocitosis()sin (blastos ))),policromatofilia (Causado por: anisocitosis(macrocítica Causado por: policromatofilia())sin (blastos ))","C0007789,C0221278,C0333942","Mujer,fiebre (alta ),tos (seca )","C0043210#C0015780#C0086418,C0015967,C0850149",orinas (oscuras ),C0042036 C0332582
102,embolia (pulmón ),C1704212#C0013922,"Mujer,embarazo,portadora","C0043210#C0015780#C0086418,C0549206#C0032961#C0549169,C0560175",fenómeno (trombótico ),-
103,derrame (pleural (derecho )),C0013687,"varón,fiebre,tos,disnea,dolor (pleurítico (derecho )),líquido","C0086582,C0015967,C0010200,C0013404#C0553668,C0008033,C0444611#C1304698#C1697794#C0302908#C1704353",,
104,TBC (pulmonar ),C0041296,,,,
105,"faringitis (aguda ),exantema (cutáneo maculoso generalizado ),leucocitosis,linfocitosis,trombopenia (ligera )","C0001344#C0031350,C0015230,C0023518#C0750426,C0024282#C0853698,C0040034","Mujer,fiebre (elevada ),dolor (faríngeo ),leucocitosis,linfocitosis","C0043210#C0015780#C0086418,C0015967,C0242429,C0023518#C0750426,C0024282#C0853698","adenopatías (cervicales ),transaminasas (levemente (aumentadas ))","-,C1152208#C0002594"
106,hepatitis (B ),C0019163,,,,
107,"edemas (progresivos extremidades (inferiores )),miocardiopatía (Causado por: enfermedad(de Chagas )),enfermedad (de Chagas )","C0013604,C0878544,C0041234","Mujer,disnea,edemas (progresivos extremidades (inferiores )),insuficiencia (cardiaca Causado por: miocardiopatía(Causado por: enfermedad(de Chagas ))),enfermedad (endémica )","C0043210#C0015780#C0086418,C0013404#C0553668,C0013604,C0231179,C0277550",palpitaciones,-
108,"infecciones (tracto (urinario )),Sedimento","C0009450,C0333562","gestación,dolor (región (lumbar izquierda )),disuria","C0549206#C0032961#C0549169,C0030193,C0013428","sensación (febril ),ITU","C0036658#C1455667 C0015967,-"
109,"diabetes (mellitus ),estreñimiento,nefropatía (diabética tipo (2 ))","C0011849,C0009806,C0011881","mujer,Se siente bien,estreñimiento,tos","C0043210#C0015780#C0086418,C0424578,C0009806,C0010200","hipertensión,intolerancia (Causado por: tos())","-,C0231199"
110,"deshidratación (aguda ),exposición","C0011175,C0274281",Mujer,C0043210#C0015780#C0086418,sensación (pie de mareo ),C0036658#C1455667 C0332285 C0012833#C0220870
111,,,"tos (persistente ),disnea (progresiva ),síntomas","C0562483,C0013404#C0553668,C1457887","gene (ralmente (seca )),ralmente (seca )","-,-"
112,"trastornos (visuales ),atrofia (muscular )","C0012634#C0039082,C0026846","hormigueo (ambas (manos )),torpeza (motora ),síntomas,anestesia,dolor,sensibilidad,dismetría,disdiadococinesia,temblor (intencional )","C0016579,C0233844,C1457887,C0278134,C0030193,C1264642#C0439823#C0312418,C0234162,C0234979,C0234376","diabético,sensación (de acorchamiento ),insensibilidad (térmica ),déficit (de (fuerza ))","-,C0036658#C1455667 C0332285,-,C0011155"
113,zona (occipital ),C0019360,"mujer,dolor (cabeza ) de,dolor (zona (occipital )ambas (regiones temporales )),cefalea","C0043210#C0015780#C0086418,C0018681,C0030193,C0018681",,
114,deterioro (cognitivo progresivo ),C1265875#C0684336#C0231171,"varón,deterioro (cognitivo progresivo ),fallos (de (memoria )),alucinaciones (visuales recurrentes ),caídas (ocasionales )","C0086582,C1265875#C0684336#C0231171,C0231174,C0018524,C0085639",enlentecimiento (Causado por: caídas(ocasionales )motor ),-
115,ausencias,C1689985#C0014553,"mujer,crisis (tónico-clónicas generalizadas )","C0043210#C0015780#C0086418,C0231224",saltos (violentos miembros (superiores )),-
116,"hemiparesia (espástica ),lesión","C0018989,C0332447#C1313971#C0221198","debilidad (muscular ),signo de Babinski,parálisis (fláccida facial hemicara (izquierda )),incapacidad","C0151786,C0034935,C0085620,C0231172",hiperreflexia (ambas (extremidades derechas )),C2939158
117,"insuficiencia (renal crónica leve ),hemiparesia (Causado por: insuficiencia(renal crónica leve )derecha ),lesiones (isquémicas ),necrosis (craneal microhemorrágicas ),deterioro (progresivo )","C0403447,C0457435,C0332447#C1313971#C0221198,C0027540,C1265875#C0684336#C0231171","somnolencia,deterioro (progresivo ),conducta","C2830004,C1265875#C0684336#C0231171,C0004927","DM,HTA,aumento (de (Cr )),Esquistocitos","C0439199,-,C0442805,C0221282"
118,"drusas (blandas ojo ),metamorfopsia,pérdida (visual importante ojo (derecho ))","C1260959#C0333440,C0271185,C0456909#C0042798#C3665346#C3665347#C0042790#C3665386",Mujer,C0043210#C0015780#C0086418,,
119,úlcera (corneal (central )),C0155069,dolor (ojo (derecho )),C0030193,,
120,"cirrosis (hepática Child (A )),lesión (hepática ),lesiones (hepáticas ),hepatocarcinoma,metástasis (glándula (suprarrenal derecha )),ascitis,síndrome (general )","C0023890,C0332447#C1313971#C0221198,C0332447#C1313971#C0221198,C2239176,C2939419#C0013930,C0003962,C0012634#C0039082","descompensación (Causado por: cirrosis(hepática Child (A ))),astenia","C0231187,C0004093#C3714552","invasión (vascular tumoral ),síndrome (general )","-,C0012634#C0039082 C0205246"
121,metástasis (múltiples ),C2939419#C0013930,crisis (comicial ),C0231224,,
122,hematoma (palpebral unilateral ),C0018944,mirada,C0553544,"traumatismo (directo cara ),diplopia,dificultad (para (la apertura )boca )","C0441718,-,C1299586#C0332218"
123,otalgia,C0013456,"fiebre,signos (inflamatorios ),fiebre (irritabilidad ),irritabilidad","C0015967,C0311392,C0015967,C0022107","signos (inflamatorios ),tímpano (sonrosado )","C0311392 C0333348,C0041445 -"
124,"otalgia (izquierda ),disminución,induración (base (de lengua izquierda )),ulceración (mucosa )","C0013456,C0333668#C0547047,C0332534,C0234233#C0041582","fumador,capacidad,ulceración (mucosa ),conducta","C0337664,C0086035,C0234233#C0041582,C0004927","bebedor (importante ),odinodisfagia,origen (dental ),adenopatías (cervical )","-,-,C0439659,-"
125,,,"recién nacido,sin hallazgos patológicos","C0021289#C2239178,C0332442","bolsón (esofágico atrésico ),atrésico,neumatización (gastrointestinal ),anomalías","-,-,-,-"
126,hepatomegalia (discreta ),C0019209,consistencia normal,C0332530,virus hepatotropos,C0042776 -
127,,,"niño de,fiebre,irritabilidad","C0680063,C0015967,C0022107",fontanela (abombada ),-
128,"estreñimiento,bradicardia,anemia,leucopenia (leve )","C0009806,C0428977,C0002871#C0221395#C1510654,C0023530#C0750394","pérdida (de (peso )),astenia,amenorrea secundaria,estreñimiento,hipotensión (ortostática ),leucopenia (leve ),onda T aplanada","C0043096#C1285591,C0004093#C3714552,C0232940,C0009806,C0428894,C0023530#C0750394,C0429059",,
129,,,Niño de,C0680063,,
