kasuZbkia,gaixotasunak,gaixotasunUMLS,sintomak,sintomenUMLS,gaixSin,gaixSinUMLS
33,"epistaxis,anemia,leucopenia,trombopenia","C0014591,C0002871#C0221395#C1510654,C0023530#C0750394,C0040034_1","debilidad,fatiga,leucopenia","C0424594#C0004093#C3714552,C0015672,C0023530#C0750394",,
34,tumefacción,C0038999,"Mujer,tumefacción","C0043210#C0015780#C0086418,C0038999",ocupación,C0028811
35,"sangrado,hemorragia","C0019080,C0019080","Mujer,sangrado,hemorragia","C0043210#C0015780#C0086418,C0019080,C0019080",,
36,artritis reumatoide,C0003873 C0003873,mujer,C0043210#C0015780#C0086418,poliartritis,C0162323
37,disminución,C0333668#C0547047,"varón,rigidez,dolor","C0086582,C0427008#C0026837,C0030193","diabético,calcificaciones","-,C1533591"
38,"artritis simétrica,hipertensión arterial","C0427306 C0427306,C0020538 C0020538",Mujer,C0043210#C0015780#C0086418,"febrícula,hipocomplementemia","-,-"
39,"fractura cerrada del radio,yeso,osteoporosis,reducción,fractura","C0272622 C0272622 C0272622 C0272622,C0179686#C0460977#C0302143,C0029456,C0333668,C0016658","Mujer,fumadora","C0043210#C0015780#C0086418,C0337664",,
40,Lupus Eritematoso Sistémico,C0024141 C0024141 C0024141,mujer,C0043210#C0015780#C0086418,"actividad,inflamatoria,dolor","C0441655,C0333348,C1719974_3"
41,"tumefacción,compresión","C0038999,C0332459#C1285497","caída,tumefacción,hormigueos,disestesias","C0085639,C0038999,C0016579,C0392699",,
42,"epilepsia,adicción a drogas,compresión,edematosa,sedimento","C0014544,C1510472 C1510472 C1510472,C0332459#C1285497,C0013604,C0333562","Dolor difuso,orina oscura proteinuria,insuficiencia","C0520963 C0520963,C0426396 C0426396 C0033687,C0231179",comatoso,-
43,hematuria macroscópica,C0473237 C0473237,"artralgia,dolor abdominal","C0003862,C0000737 C0000737",,
44,hipertensión arterial infarto de miocardio,C0020538 C0020538 C0027051 C0027051 C0027051,dificultad para caminar malestar general,C0311394 C0311394 C0311394 C0234215#C0231218 C0234215#C0231218,ictus,-
45,hematuria,C0018965,"hematuria,dolor,cólico","C0018965,C0030193,C0423605#C0232488#C3665357","polaquiuría,piuría","-,-"
46,,,"cantidades,posición corporal,disuria,incontinencia urinaria","C1265611#C0237753,C1262869 C1262869,C0013428,C0042024#C0312413 C0042024#C0312413",,
47,neumonía adquirida en la comunidad,C0694549 C0694549 C0694549 C0694549 C0694549,"fumador,escalofríos,fiebre,tos","C0337664,C0234192#C0085593#C0424790,C0015967,C0010200_1",expectoración,C0232515#C0038056
48,artritis reumatoide herpes zoster,C0003873 C0003873 C0019360 C0019360,Mujer,C0043210#C0015780#C0086418,,
49,"vegetación,endocarditis","C1285498,C0014118","fiebre,pérdida de peso disnea de esfuerzo soplo diastólico","C0015967,C0043096#C1285591 C0043096#C1285591 C0043096#C1285591 C0231807 C0231807 C0231807 C0232262 C0232262","embolismos,Streptococcus,bovis","-,-,-"
50,"hipotensión,enfermedad de Hodgkin","C0020649,C0019829 C0019829 C0019829",fiebre,C0015967,,
51,"desviación,litiasis","C0185033#C0333051,C0023869","mujer,fiebre,dolor","C0043210#C0015780#C0086418,C0015967,C0030193",,
52,induración,C0332534,adicto,C0700285,VIH,C0458074#C0019682_1
53,"exantema,petequias","C0015230,C0031256","mujer,fiebre,cefalea","C0043210#C0015780#C0086418,C0015967,C0018681",artroniialgias,-
54,"síndrome,lesión,hepatomegalia,masa,lesiones","C0012634#C0039082,C0332447#C1313971#C0221198,C0019209,C1306372#C0577559,C0332447#C1313971#C0221198","dolor,masa","C0030193,C1306372#C0577559","constitucional,lesión","-,C0221204_1"
55,"metástasis,carcinoma","C2939419#C0013930,C0007097",,,,
56,"demencia,neumonía aspirativa úlcera por presión","C0497327,C0032290#C1761609 C0032290#C1761609 C0011127 C0011127 C0011127","No se comunica,mujer","C0566002 C0566002 C0566002,C0043210#C0015780#C0086418",,
57,"fractura de cadera hipertensión arterial,demencia,fractura","C0435805#C0019557#C0015806 C0435805#C0019557#C0015806 C0435805#C0019557#C0015806 C0020538 C0020538,C0497327,C0016658","mujer,presión venosa yugular normal ritmo sinusal","C0043210#C0015780#C0086418,C0520859 C0520859 C0520859 C0520859 C0232201 C0232201",alteraciones,-
58,"hipertensión arterial,artrosis","C0020538 C0020538,C0029408","mujer,cansancio,debilidad,síntomas,mareo,incontinencia urinaria,temblor,actuaciones","C0043210#C0015780#C0086418,C0015672#C0475255,C0424594#C0004093#C3714552,C1457887,C0012833#C0220870,C0042024#C0312413 C0042024#C0312413,C0040822#C1527384_1,C0699820",,
59,,,"pérdida de peso,mialgias","C0043096#C1285591 C0043096#C1285591 C0043096#C1285591,C0231528",,
60,"leucocitosis,desviación,crisis hipertensiva","C0023518#C0750426,C0185033#C0333051,C0151620#C0020546 C0151620#C0020546","cefalea,sudoración profusa,masa suprarrenal","C0018681,C0700590#C0020458 C0700590#C0020458,C0342500 C0342500",,
61,"erupción cutánea,edematosas","C0015230 C0015230,C0013604",morfología,C0700329#C0332437,"eritemato,descamación","-,C0237849"
62,"hepatitis C tendinitis,hipertricosis","C0019196 C0019196 C0039503,C0020555","hábito,portador","C0018464,C0560175","enólico,virus","-,C0042776"
63,"punción,carcinoma epidermoide","C0033119,C0007137 C0007137",fumador,C0337664,"bebedor,adenopatía","-,-"
64,"cáncer de mama,infección aguda,zona,esclerosis ósea","C0006142#C0678222 C0006142#C0678222 C0006142#C0678222,C0275518 C0275518,C0019360,C0221434 C0221434","Mujer,signos","C0043210#C0015780#C0086418,C0311392",metástasis,C0036525_2
65,tumefacción,C0038999,"fiebre,tumefacción,dolor","C0015967,C0038999,C0030193","mal,trísmus","C0205169,-"
66,,,"fallecimiento,accidente automovilístico hermano mayor","C1306577,C1290896#C1367973 C1290896#C1367973 C0337546#C0337537 C0337546#C0337537","sintomatología,ansiosa,humor,depresivo","-,-,C0026516,-"
67,"inestabilidad,infarto","C1444783#C0231444,C0021308","taquicardia sudoración opresión torácica sensación de asfixia,inestabilidad","C0039231 C0038990 C0232292 C0232292 C0008301#C0546947 C0008301#C0546947 C0008301#C0546947,C1444783#C0231444",patología,C0030664
68,,,"Mujer,tristeza,preocupación,problemas,apatía","C0043210#C0015780#C0086418,C0344315#C3536794,C0233481#C0549165,C0033213,C0085632","desmotivación,lloros,patología","-,-,C0030664"
69,"deterioro,parkinsonismo","C1265875#C0684336#C0231171,C0242422","deterioro,déficit,capacidad,alucinaciones,ideas delirantes,fluctuación","C1265875#C0684336#C0231171,C0162429,C0086035,C0018524,C0011253 C0011253,C0231239","sintomas,psicóticos,extrapiramidales,alteraciones","-,-,-,-"
70,vómitos vómitos,C0042963 C0042963,"Niño de,nacimiento,exceso de base","C0680063 C0680063,C1148523#C0005615,C0201985#C1330956 C0201985#C1330956 C0201985#C1330956",visceromoegalias,-
71,zona,C0019360,Niño de,C0680063 C0680063,adenoinegalias,-
72,,,"niño de,gira,dolor","C0680063 C0680063,C0233591,C0030193",,
73,Síndrome,C0012634#C0039082,niño de soplo,C0680063 C0680063 C0006318#C0018808,"asisíomáíico,de,Wolf-Parkinson","-,C0332285,-"
74,,,sedimento urinario,C2945609#C1261248 C2945609#C1261248,,
75,,,"Niño de,signos","C0680063 C0680063,C0311392",,
76,"tumor,feocromocitoma","C0027651,C0031511",,,,
77,edemas,C0013604,"cefalea,escotomas,dolor epigástrico,proteinuria","C0018681,C0036454,C0232493 C0232493,C0033687_1",,
78,"dismenorrea,endometrioma","C0013390,C0269102#C1536148","Mujer,dismenorrea,dolor,tumoración","C0043210#C0015780#C0086418,C0013390,C0030193,C0577559","doloroso,formación,quística","-,-,C0205207"
79,edemas,C0013604,"gestación,edemas,amenorrea,líquido","C0549206#C0032961#C0549169,C0013604,C0002453,C0444611#C1304698#C1697794#C0302908#C1704353",,
80,acné,C0702166,mujer,C0043210#C0015780#C0086418,"baches,aumento","C0562973,C0442805"
81,,,"Mujer,pubertad,hallazgos,mamas","C0043210#C0015780#C0086418,C0034011,C0243095,C0006141#C0929301#C1268990#C0566398","retraso,menarquia","-,-"
82,tuberculosis pulmonar,C0041327 C0041327,insuficiencia,C0231179,,
83,"nódulo,punción","C0028259,C0033119",,,,
84,"hepatomegalia,degeneración hialina","C0019209,C0333438 C0333438","sobrepeso,bebedor habitual","C0497406_1,C0556340 C0556340","diabético,vacuolas,claras,citoplásmicas,Focos,inflamatorios","-,-,C2963144#C1306462#C0522503,-,-,C0333348"
85,"tumor,lesiones,cáncer,carcinoma","C0027651,C0332447#C1313971#C0221198,C1306459#C0936282#C0006826,C0007097",,,"células,inflamatorias","C1269647#C0007634,C0333348"
86,síndrome,C0012634#C0039082,Mujer,C0043210#C0015780#C0086418,"orina,miccional,Enterococcus,faecalis","C0042036,-,-,-"
87,neumonía,C0032285#C3714636,,,"proceso,diarreico","C1522240,-"
88,cáncer de mama,C0006142#C0678222 C0006142#C0678222 C0006142#C0678222,mujer,C0043210#C0015780#C0086418,,
89,"tenosinovitis,herida penetrante","C0039520,C0043254 C0043254",,,,
90,,,"mujer,gestación,primípara,ataxia,portador","C0043210#C0015780#C0086418,C0549206#C0032961#C0549169,C0033150,C0004134,C0560175","mutación,DPN","-,-"
91,"enfermedad,fusión","C0012634#C0039082,C1293131#C0332466","portador,morfología","C0560175,C0700329#C0332437","mutación,de,Charcot-Marie-Tooth","-,C0332285,-"
92,"tabaquismo,derivaciones","C0040332#C0040336#C1306274#C0425291_1,C1442858#C0542331",dolor torácico opresivo sudoración,C1299600 C1299600 C1299600 C0038990,"dislipemia,diabetes","-,-"
93,edematoso,C0013604,"mujer,dolor,cefalea","C0043210#C0015780#C0086418,C0030193,C0018681","pérdida,febrícula,pálido,alteraciones","-,-,C1971630#C0017651,-"
94,"tuberculosis miliar,disminución","C0041321 C0041321,C0333668#C0547047","somnolencia,diuresis","C2830004,C0012797",,
95,,,,,"hepatitis,B","C0019169_4,C0019169_5"
96,"hiperemesis gravídica,sangrado,cavidad,mola hidatiforme completa","C0020450#C0269661 C0020450#C0269661,C0019080,C1510420,C0020217#C0678213 C0020217#C0678213 C0020217#C0678213","gestación,amenorrea,metrorragia,sangrado","C0549206#C0032961#C0549169,C0002453,C0025874,C0019080",,
97,"hepatitis vírica,lesiones,hepatomegalia","C0042721 C0042721,C0332447#C1313971#C0221198,C0019209","Mujer,conductas,prurito generalizado,ausencia de lagrimeo,ictericia conjuntival","C0043210#C0015780#C0086418,C0004927,C0475858 C0475858,C0423154 C0423154 C0423154,C0240962 C0240962","sexuales,de,riesgo,sequedad","-,C0332285,-,-"
98,asma bronquial,C0004096#C0085129#C1319018#C1260881 C0004096#C0085129#C1319018#C1260881,"disnea,tos","C0013404#C0553668,C0010200_1",agudizaciones,-
99,vómitos gastroparesia diabética,C0042963 C0267176 C0267176,mujer,C0043210#C0015780#C0086418,"diabética,sensación,de,saciedad,nauseas,pérdida","-,C0036658#C1455667,C0332285,C0036239,-,-"
100,cirrosis hepática,C0023890 C0023890,lesión hepática,C0577053 C0577053,varices,-
101,"epistaxis,hiperbilirrubinemia","C0014591,C0020433","agitación,éxtasis psicomotriz,asterixis,ictericia","C0085631,C0678156 C0085631,C0232766,C0022346","Consumidor,gingivorragias","-,-"
102,"masa,estenosis,punción,dilatación","C1306372#C0577559,C0009814#C1261287,C0033119,C0012359","Mujer,ictericia,masa,crisis,broncoespasmo,problema","C0043210#C0015780#C0086418,C0022346,C1306372#C0577559,C0231224,C0006266,C0033213","células,malignas","C1269647#C0007634,C0205282"
103,pancreatitis aguda,C0001339#C0341461 C0001339#C0341461,mujer,C0043210#C0015780#C0086418,,
104,"pancreatitis aguda,leucocitosis","C0001339#C0341461 C0001339#C0341461,C0023518#C0750426","fiebre,leucocitosis,sedimento urinario","C0015967,C0023518#C0750426,C2945609#C1261248 C2945609#C1261248",,
105,"apendicitis,vómitos,dilatación","C0003615,C0042963_1,C0012359","Mujer,distensión abdominal distensión abdominal","C0043210#C0015780#C0086418,C0000731 C0000731 C0000731 C0000731","deposición,diarreica,irritación","-,-,C0441723"
106,EPOC,C0024117,,,,
107,"alergia,asma bronquial","C0020517,C0004096#C0085129#C1319018#C1260881 C0004096#C0085129#C1319018#C1260881","mujer,disnea de esfuerzo","C0043210#C0015780#C0086418,C0231807 C0231807 C0231807",agudizaciones,-
108,"infecciones,disminución","C0009450,C0333668#C0547047","disnea,fumador,murmullo vesicular,signos,atrapamiento aéreo","C0013404#C0553668,C0337664,C0231857 C0231857,C0311392,C0231819 C0231819","expectoración,alargada,hiperínsuflación","C0232515#C0038056,-,-"
109,,,"ronquidos,somnolencia diurna,síntomas,signos","C0037384,C2219848 C2219848,C1457887,C0311392",fumador,C0337672_2
110,"esquizofrenia,neumonía,derrame pleural,leucocitosis","C0036341,C0032285#C3714636,C0032227 C0032227,C0023518#C0750426","Mujer,hábitos,persistencia,leucocitosis,conducta","C0043210#C0015780#C0086418,C0018464,C0546816,C0023518#C0750426,C0004927","tóxicos,febrícula","-,-"
111,,,"disnea,malestar general","C0013404#C0553668,C0234215#C0231218 C0234215#C0231218",Diabético,-
112,"accidente cerebrovascular hipertensión arterial diabetes mellitus tipo 2,accidente cerebrovascular","C0038454#C1540600 C0038454#C1540600 C0020538 C0020538 C0011860 C0011860 C0011860 C0011860,C0038454#C1540600 C0038454#C1540600",mujer,C0043210#C0015780#C0086418,,
113,"hipopotasemia,síndrome de realimentación","C0020621#C1971021#C0032827,C0860549 C0860549 C0860549",insuficiencia,C0231179,hipofosforemia,-
114,obesidad,C0028754#C0451819#C1563743,"dietas,dieta","C0012155,C0012155",,
115,"trombosis,fractura de Colles","C0087086#C0003148#C0040053,C0009353 C0009353 C0009353","cansancio,dolor óseo","C0015672#C0475255,C0151825 C0151825",,
116,"equimosis,hipertensión arterial,disminución,osteoporosis","C0013491,C0020538 C0020538,C0333668#C0547047,C0029456","dolores,equimosis","C0030193,C0013491","dificultad,facies,aumento,estrías,aplastamientos","C1299586#C0332218,C0282631,C0442805,-,-"
117,"bulto,zona,masa","C0577559,C0019360,C1306372#C0577559","Mujer,bulto,masa","C0043210#C0015780#C0086418,C0577559,C1306372#C0577559",adenopatías,-
118,,,Niño de,C0680063 C0680063,,
119,"Diabetes Mellitus tipo 2,deterioro,atrofia,zona,trastorno,trastornos,traumatismo","C0011860 C0011860 C0011860 C0011860,C1265875#C0684336#C0231171,C0333641#C0037154,C0019360,C0012634#C0039082,C0012634#C0039082,C3263723","deterioro,alucinaciones,temblor","C1265875#C0684336#C0231171,C0018524,C0040822#C1527384_1","VIH,conductual,focalidad","C0458074#C0019682_1,-,-"
120,"insomnio,síndrome de piernas inquietas","C0917801#C0424566,C0035258 C0035258 C0035258 C0035258","Mujer,sensación de hormigueo,síntomas","C0043210#C0015780#C0086418,C0423572 C0423572 C0423572,C1457887",quemazón,-
121,"lesión,livedo reticularis","C0332447#C1313971#C0221198,C1281186#C0085642 C1281186#C0085642",desorientación,C0233407,hipertenso,-
122,hipertensión arterial,C0020538 C0020538,Mujer,C0043210#C0015780#C0086418,,
123,infarto agudo de miocardio,C0155626 C0155626 C0155626 C0155626,"Mujer,disnea,tos seca dolor torácico opresivo,ruidos,sibilancias,Taquicardia sinusal inversión de la onda T","C0043210#C0015780#C0086418,C0013404#C0553668,C0850149 C0850149 C1299600 C1299600 C1299600,C0006318,C0043144#C0392681,C0039239 C0039239 C0520888 C0520888 C0520888 C0520888 C0520888","HTA,crepitantes","-,-"
124,valvulopatía,C0018824,"insuficiencia,soplo holosistólico","C0231179,C0232258 C0232258",,
125,angina de esfuerzo,C0577698 C0577698 C0577698,soplo sistólico,C0232257 C0232257,,
126,lesión,C0332447#C1313971#C0221198,"Mujer,dolor","C0043210#C0015780#C0086418,C0030193","hipertensa,cordones,varicosos","-,-,C0439652"
127,hipotensión arterial,C0020649 C0020649,"dolor precordial,ansiedad","C0232286 C0232286,C0003467",disección,C0012737
128,"síndrome coronario agudo,edema agudo de pulmón","C0948089 C0948089 C0948089,C0155919 C0155919 C0155919 C0155919","portador,insuficiencia","C0560175,C0231179",,
129,"anemia,esplenomegalia","C0002871#C0221395#C1510654,C0038002","mujer,ictericia conjuntival","C0043210#C0015780#C0086418,C0240962 C0240962",litiasis,C0242216_1
130,"tumefacción,traumatismo","C0038999,C3263723","Niño de,problemas","C0680063 C0680063,C0033213",hemartros,-
131,"cáncer,mala,perfusión,periférica","C1306459#C0936282#C0006826,C0520547#C1328773_1,C0520547#C1328773_2,C0520547#C1328773_3","mujer,dolor pleurítico,taquipneica,signos,mala,perfusión,periférica,conducta","C0043210#C0015780#C0086418,C0008033 C0008033,C0231835,C0311392,C0520547#C1328773_1,C0520547#C1328773_2,C0520547#C1328773_3,C0004927",,
132,accidente cerebrovascular Policitemia Vera,C0038454#C1540600 C0038454#C1540600 C0032463 C0032463,,,fumador,C0337672_2
133,"epistaxis,petequias,equimosis,trombocitopenia púrpura trombocitopénica PTI PTI","C0014591,C0031256,C0013491,C0040034 C0857305 C0857305 C0398650 C0398650","mujer,equimosis,trombocitopenia","C0043210#C0015780#C0086418,C0013491,C0040034_1",,
134,"Diabetes Mellitus,inflamación progresiva,impotencia,derrame articular,purulento","C0011849 C0011849,C1265828 C1265828,C0242350,C0013687 C1253936#C0311222,C0439665","Mujer,dolor intenso,impotencia,fiebre,tensión,dolor,líquido,conducta","C0043210#C0015780#C0086418,C0458256 C0458256,C0242350,C0015967,C0038435,C0030193,C0444611#C1304698#C1697794#C0302908#C1704353,C0004927","insulín,gonartrosis,aumento,cambios,degenerativos","-,-,C0442805,C0443172,-"
135,artritis,C0003864,artritis,C0003864,bebedor,-
136,"monoartritis,pericarditis,leucocitosis,neutrofilia","C0158026,C0031046_1,C0023518#C0750426,C3665444#C1282609#C0151683","fiebre,dolor a la palpación,leucocitosis,neutrofilia","C0015967,C0234233 C0234233 C0234233 C0234233,C0023518#C0750426,C3665444#C1282609#C0151683","dolor,peritonismo","C1719974_3,-"
137,enfermedad,C0012634#C0039082,"Varón,cefalalgias","C0086582,C0018681",,
138,"eritema nodoso,uveítis anterior","C0014743 C0014743,C0022073#C0042165 C0022073#C0042165",Mujer,C0043210#C0015780#C0086418,"febrícula,adenopatías","-,-"
139,desplazamiento anterior,C0333043 C0333043,,,,
140,deformidad,C0302142,"energía,deformidad,dolor","C0424589,C0302142,C0030193",,
141,"estenosis mitral reumática,vegetación","C0264766 C0264766 C0264766,C1285498","fiebre,disnea,estertores húmedos","C0015967,C0013404#C0553668,C0425545 C0425545","comisurotomía,Streptococcus,del,grupo,viridans","C0190080_1,-,-,C0441833#C1257890,-"
142,"purulenta,desviación","C0439665,C0185033#C0333051","tos,fiebre,orientado en tiempo estertores crepitantes soplo","C0010200_1,C0015967,C1961029 C1961029 C1961029 C0034642 C0034642 C0006318#C0018808","fumador,bebedor,diabético,expectoración","C0337672_2,-,-,C0232515#C0038056"
143,con infección,C0439663 C0439663,"fiebre,malestar general","C0015967,C0234215#C0231218 C0234215#C0231218","VIH,adenopatías","C0458074#C0019682_1,-"
144,"psoriasis,induración","C0033860_1,C0332534",,,necrosis,C1562242_3
145,"Diabetes Mellitus tipo 2,tumefacción,disminución","C0011860 C0011860 C0011860 C0011860,C0038999,C0333668#C0547047","fiebre,tumoración,tumefacción","C0015967,C0577559,C0038999","fumador,Hipertenso","C0337671_2,-"
146,"lesiones,meningitis","C0332447#C1313971#C0221198,C0025289","fiebre,cefalea frontal,rigidez de nuca,líquido","C0015967,C0239886 C0239886,C1320474#C0151315 C1320474#C0151315 C1320474#C0151315,C0444611#C1304698#C1697794#C0302908#C1704353","sensación,nauseosa,Kernig","C0036658#C1455667,-,C0240103_3"
147,"hematuria,infecciones","C0018965,C0009450","hematuria,proteinuria","C0018965,C0033687_1",,
148,"diabetes mellitus hipertensión arterial,disminución,hipopotasemia","C0011849 C0011849 C0020538 C0020538,C0333668#C0547047,C0020621#C1971021#C0032827","cansancio,disnea,tos síntomas urinarios","C0015672#C0475255,C0013404#C0553668,C0010200 C0426359 C0426359",broncopatía,-
149,anemia,C0002871#C0221395#C1510654,"insuficiencia,volumen","C0231179,C0449468#C0178733",,
150,"enfermedad renal crónica,enfermedad","C0403447 C0403447 C0403447,C0012634#C0039082",,,poliquistosis,-
151,"espondilitis anquilosante,hipoalbuminemia,edemas,hematuria,deformidad","C0038013 C0038013,C0239981,C0013604,C0018965,C0302142","proteinuria,edemas,sedimento urinario,deformidad","C0033687_1,C0013604,C2945609#C1261248 C2945609#C1261248,C0302142",,
152,extrasístoles ventriculares,C0151636 C0151636,"astenia,debilidad muscular","C0004093#C3714552,C0151786 C0151786","hipertensión,QT","-,-"
153,"hematuria,leucocitosis","C0018965,C0023518#C0750426","fiebre,hallazgos,hematuria,leucocitosis","C0015967,C0243095,C0018965,C0023518#C0750426",leucocituria,-
154,hematuria macroscópica,C0473237 C0473237,,,,
155,tumor,C0027651,varón,C0086582,,
156,"adenocarcinoma,carcinomatosis peritoneal,vómitos obstrucción intestinal","C0001418,C0346990 C0346990,C0042963 C0021843#C1258215 C0021843#C1258215",dolor cólico,C0232488#C0458254 C0232488#C0458254,"metátasis,Encamado,nauseas","-,-,-"
157,Fibrilación ventricular,C0042510 C0042510,inconsciente,C0041657,FV,-
158,coma,C0009421,"dolor,coma","C0030193,C0009421",pérdida,-
159,"obesidad,diabetes mellitus,cardiopatía hipertensiva fibrilación auricular,hipotiroidismo,fractura de muñeca,masa","C0028754#C0451819#C1563743,C0011849 C0011849,C0152105#C0694541 C0152105#C0694541 C0004238 C0004238,C0020676,C0435630 C0435630 C0435630,C1306372#C0577559","mujer,disfunción diastólica,masa","C0043210#C0015780#C0086418,C0520863 C0520863,C1306372#C0577559","hipertensión,fractura","-,-"
160,"cáncer,cardiopatía isquémica","C1306459#C0936282#C0006826,C0002962#C0151744 C0002962#C0151744",,,,
161,"colecistitis aguda,extrasístoles ventriculares,hipoxemia,hipercapnia,acidosis metabólica","C0149520 C0149520,C0151636 C0151636,C0700292#C0242184,C0020440,C0220981 C0220981",taquicardia,C0039231_1,,
162,"disfonía,rinorrea","C1527347#C1527344#C1527340#C0042940,C1260880_1","fiebre,odinofagia,rinorrea","C0015967,C0221150,C1260880_1","amígdalas,eritematosas","C1285794,-"
163,"disfonía,disfagia,enfermedades","C1527347#C1527344#C1527340#C0042940,C0232520#C0011168,C0012634#C0039082","mujer,parálisis,disfagia","C0043210#C0015780#C0086418,C0522224#C0553727,C0232520#C0011168",acufenos,-
